Gene_1,Gene_2
ADH1C,ADH1B
ANKRD17,AFF1
ANKRD50,ALPK1
ANKRD50,ADH1B
ANXA5,ABCG2
ARSJ,ANKRD17
BANK1,ANXA5
BBS7,ARSJ
C4orf33,ABCG2
C4orf36,AP1AR
CASP6,ANKRD17
CASP6,C4orf3
CCNG2,BBS12
CCNG2,ANXA5
CCNG2,ABCE1
CCNI,ADH5
CCNI,ABCE1
CCNI,ARSJ
CCNI,C4orf3
CDKL2,BDH2
CDS1,CCNI
CDS1,ADH1C
CDS1,CCNG2
CFI,BTC
CFI,BDH2
CFI,BANK1
CFI,ALPK1
CISD2,BMP3
CISD2,ANTXR2
CISD2,CFI
CNOT6L,AFF1
CNOT6L,CDKL2
COPS4,CISD2
COPS4,CCNI
COX18,BDH2
COX18,AFF1
CXCL11,CXCL10
CXCL2,CXCL1
CXCL2,AFF1
CXCL3,CXCL1
CXCL3,CXCL2
CXCL3,AFF1
CXCL5,CXCL3
CXCL9,CXCL10
CXCL9,BTC
CXCL9,ANKRD50
CXCL9,ADH5
CYP2U1,ANTXR2
DAPP1,CXCL1
DAPP1,ADH5
DKK2,ANKRD50
DKK2,CYP2U1
EIF4E,BDH2
EIF4E,AP1AR
EIF4E,ARHGAP24
ELF2,ANKRD17
ELF2,EIF4E
ELMOD2,AFF1
ELOVL6,CCNI
EMCN,ANXA3
EMCN,ALPK1
ENOPH1,DAPP1
ENOPH1,ANAPC10
ENPEP,ANTXR2
ENPEP,EMCN
EXOSC9,C4orf3
FAM13A,AFF1
FAT4,ARHGAP24
FAT4,DNAJB14
FAT4,AP1AR
FAT4,ELF2
FAT4,COPS4
FGF2,COQ2
FGF2,ANTXR2
FGF2,ELF2
FGF2,FAM13A
FRAS1,EMCN
FRAS1,ANKRD50
FRAS1,ABCG2
GAB1,AP1AR
GAR1,EIF4E
GPRIN3,COQ2
GPRIN3,DKK2
GPRIN3,C4orf3
GPRIN3,BMP2K
GPRIN3,G3BP2
GYPE,DAPP1
HADH,FRAS1
HELQ,C4orf3
HERC3,ANXA5
HERC3,CFI
HERC3,FAM13A
HERC5,CAMK2D
HERC6,HERC5
HERC6,ABCE1
HERC6,C4orf33
HHIP,CDS1
HHIP,CDKL2
HHIP,GAB1
HNRNPD,GAR1
HPGDS,ANK2
HPGDS,EMCN
HPGDS,BMP2K
HPGDS,DAPP1
HPSE,BMP2K
HPSE,AIMP1
HPSE,ABCG2
HSD17B11,DNAJB14
HSD17B11,HADH
HSD17B11,ANK2
HSPA4L,BTC
HSPA4L,CXCL3
IL15,CCNA2
INPP4B,HERC5
INPP4B,CNOT6L
INTS12,EIF4E
INTS12,CXCL11
INTS12,DAPP1
INTS12,CCNI
INTU,ANKRD17
INTU,BBS7
INTU,IL15
INTU,C4orf36
INTU,COQ2
KLHL8,ABCG2
KLHL8,AFF1
LARP1B,FGF2
LARP1B,FRAS1
LARP1B,ADH5
LARP1B,GSTCD
LARP1B,C4orf3
LARP1B,CYP2U1
LARP7,EIF4E
LARP7,CCNI
LEF1,C4orf3
LEF1,AIMP1
LEF1,DAPP1
LIN54,EIF4E
LIN54,CASP6
LIN54,ANAPC10
LSM6,COPS4
LSM6,ANAPC10
LSM6,CAMK2D
LSM6,LIN54
LSM6,CCNI
LSM6,ANKRD17
LSM6,C4orf3
MAD2L1,CCNA2
MAML3,INPP4B
MAML3,C4orf3
MANBA,INTS12
MANBA,HSD17B11
MANBA,HERC5
MANBA,CXCL3
MANBA,COQ2
MANBA,CFI
MANBA,C4orf33
MANBA,LARP1B
MAPK10,INTU
MAPK10,ANXA3
METAP1,AIMP1
METAP1,ANKRD17
METAP1,CXCL5
METAP1,MANBA
METAP1,CASP6
METTL14,FGF2
METTL14,DNAJB14
METTL14,HELQ
MGST2,CISD2
MGST2,LSM6
MGST2,ALPK1
MGST2,CCNI
MMAA,ANXA5
MMRN1,FRAS1
MRPS18C,COPS4
MRPS18C,INTU
MRPS18C,MGST2
