Gene_1,Gene_2
ADH1C,ADH1B
ANKRD17,AFF1
ANKRD50,ALPK1
ANKRD50,ADH1B
ANXA5,ABCG2
ARSJ,ANKRD17
BANK1,ANXA5
BBS7,ARSJ
C4orf33,ABCG2
C4orf36,AP1AR
CASP6,C4orf3
CASP6,ANKRD17
CCNG2,BBS12
CCNG2,ANXA5
CCNG2,ABCE1
CCNI,ABCE1
CCNI,C4orf3
CCNI,ARSJ
CDKL2,BDH2
CDS1,ADH1C
CFI,BANK1
CFI,BTC
CISD2,ANTXR2
CISD2,CFI
CNOT6L,AFF1
CNOT6L,CDKL2
COPS4,CISD2
COPS4,CCNI
COX18,BDH2
COX18,AFF1
CXCL10,ANKRD50
CXCL11,CXCL10
CXCL2,CXCL1
CXCL2,AFF1
CXCL3,CXCL2
CXCL3,CXCL1
CXCL3,AFF1
CXCL5,CXCL3
CXCL9,ADH5
CXCL9,BTC
CXCL9,CXCL10
CXCL9,ANKRD50
CYP2U1,ANTXR2
DAPP1,ADH5
DAPP1,CXCL1
DKK2,ANKRD50
DKK2,CYP2U1
EIF4E,BDH2
EIF4E,AP1AR
ELF2,ANKRD17
ELMOD2,AFF1
ELOVL6,CCNI
EMCN,ALPK1
EMCN,ANXA3
ENOPH1,DAPP1
ENPEP,EMCN
ENPEP,ANTXR2
EXOSC9,C4orf3
FAM13A,AFF1
FAT4,ELF2
FAT4,DNAJB14
FAT4,COPS4
FAT4,ARHGAP24
FGF2,COQ2
FGF2,ANTXR2
FGF2,FAM13A
FRAS1,EMCN
G3BP2,ANAPC10
GAB1,AP1AR
GAR1,EIF4E
GPRIN3,BMP2K
GPRIN3,G3BP2
GPRIN3,DKK2
GPRIN3,C4orf3
GPRIN3,BDH2
GPRIN3,ANAPC10
GYPE,DAPP1
HELQ,C4orf3
HERC3,FAM13A
HERC3,CFI
HERC3,ANXA5
HERC5,CAMK2D
HERC6,C4orf33
HERC6,ABCE1
HERC6,HERC5
HHIP,FRAS1
HHIP,CXCL2
HHIP,CDS1
HHIP,GAB1
HHIP,BBS12
HHIP,CDKL2
HNRNPD,GAR1
HPGDS,BMP2K
HPGDS,EMCN
HPGDS,ANK2
HPSE,ABCG2
HPSE,BMP2K
HSD17B11,DNAJB14
HSD17B11,HADH
HSD17B11,ANK2
HSPA4L,BTC
HSPA4L,CXCL3
IL15,CCNA2
INPP4B,HERC5
INPP4B,CNOT6L
INTS12,CXCL11
INTS12,EIF4E
INTS12,CCNI
INTS12,DAPP1
INTU,ANKRD17
INTU,CXCL5
INTU,C4orf36
INTU,BBS7
INTU,COQ2
INTU,IL15
KLHL8,AFF1
KLHL8,ABCG2
LARP1B,C4orf3
LARP1B,CYP2U1
LARP1B,FGF2
LARP1B,GSTCD
LARP7,CCNI
LARP7,EIF4E
LEF1,C4orf3
LEF1,AIMP1
LEF1,DAPP1
LIN54,CASP6
LIN54,EIF4E
LIN54,ANAPC10
LSM6,CCNI
LSM6,ANAPC10
LSM6,COPS4
LSM6,C4orf3
LSM6,LIN54
LSM6,ANKRD17
MAD2L1,CCNA2
MAML3,C4orf3
MAML3,INPP4B
MANBA,CXCL3
MANBA,HSD17B11
MANBA,COQ2
MANBA,CFI
MANBA,LARP1B
MANBA,HERC5
MANBA,C4orf33
MANBA,INTS12
MAPK10,ANXA3
MAPK10,INTU
METAP1,AIMP1
METAP1,MANBA
METAP1,CASP6
METAP1,CXCL5
METTL14,BBS7
METTL14,DNAJB14
METTL14,FGF2
METTL14,HELQ
MGST2,CCNI
MGST2,AFF1
MGST2,LSM6
MGST2,ANKRD17
MGST2,CISD2
MMAA,ANXA5
MRPL1,MGST2
MRPS18C,COPS4
MRPS18C,INTU
MTHFD2L,MFSD8
MTHFD2L,DAPP1
MTHFD2L,EMCN
NAA15,MANBA
NAA15,EIF4E
NAA15,EXOSC9
NAAA,CCNI
NAAA,CXCL9
NAAA,ANKRD50
NAP1L5,MMRN1
NAP1L5,BBS12
