Gene_1,Gene_2
USO1,RASGEF1B
USO1,EIF4E
USO1,INPP4B
USO1,NAA15
USO1,THAP6
USO1,MRPS18C
USO1,METTL14
USO1,HERC6
USO1,TBCK
USO1,ABCE1
USO1,RCHY1
USO1,ALPK1
USO1,ANKRD17
USO1,OSTC
USO1,THAP9
USO1,SEC24B
USO1,PAPSS1
USO1,CXCL11
USO1,BBS7
USO1,NPNT
USO1,TIFA
USO1,SCOC
USO1,GAR1
USO1,LARP1B
USO1,CYP2U1
USO1,FGF2
USO1,RAB33B
USO1,ELOVL6
USO1,SCD5
USO1,FRAS1
USO1,SDAD1
USO1,OTUD4
USO1,ELF2
USO1,LSM6
USO1,TIGD2
USO1,CXCL10
USO1,PTPN13
USO1,MTHFD2L
USO1,SMARCAD1
USO1,ENOPH1
USO1,ZNF330
USO1,SETD7
USO1,LARP7
USO1,MMAA
USO1,HELQ
USO1,ANAPC10
USO1,WDFY3
USO1,SEC31A
USO1,HNRNPD
USO1,PPM1K
USO1,CXCL2
USO1,ARSJ
USO1,DNAJB14
USO1,SHROOM3
USO1,INTU
USO1,MFSD8
USO1,ELMOD2
USO1,CAMK2D
USO1,CISD2
USO1,PLK4
USO1,HPSE
USO1,HPGDS
ANKRD50,RASGEF1B
ANKRD50,HSPA4L
ANKRD50,C4orf33
ANKRD50,CCNI
ANKRD50,MAML3
ANKRD50,ADH5
ANKRD50,FAT4
ANKRD50,ENPEP
ANKRD50,INPP4B
ANKRD50,METAP1
ANKRD50,NAA15
ANKRD50,PPA2
ANKRD50,MRPS18C
ANKRD50,HERC6
ANKRD50,ZNF827
ANKRD50,RCHY1
ANKRD50,OSTC
ANKRD50,TBC1D9
ANKRD50,ANTXR2
ANKRD50,SEC24B
ANKRD50,PAPSS1
ANKRD50,CDS1
ANKRD50,BBS7
ANKRD50,SCARB2
ANKRD50,IL15
ANKRD50,SCOC
ANKRD50,NAP1L5
ANKRD50,CXCL5
ANKRD50,GAR1
ANKRD50,SNCA
ANKRD50,KLHL8
ANKRD50,CYP2U1
ANKRD50,SCLT1
ANKRD50,MANBA
ANKRD50,RAB33B
ANKRD50,GAB1
ANKRD50,SMARCA5
ANKRD50,PKD2
ANKRD50,FRAS1
ANKRD50,DKK2
ANKRD50,OTUD4
ANKRD50,LSM6
ANKRD50,UBE2D3
ANKRD50,CFI
ANKRD50,PPBP
ANKRD50,RASSF6
ANKRD50,STBD1
ANKRD50,C4orf36
ANKRD50,ANXA5
ANKRD50,COQ2
ANKRD50,BANK1
ANKRD50,BMP2K
ANKRD50,CXCL10
ANKRD50,MTHFD2L
ANKRD50,ZNF330
ANKRD50,USP38
ANKRD50,LARP7
ANKRD50,MMAA
ANKRD50,ADH1C
ANKRD50,ANAPC10
ANKRD50,WDFY3
ANKRD50,BBS12
ANKRD50,CXCL3
ANKRD50,CXCL9
ANKRD50,PPM1K
ANKRD50,ARSJ
ANKRD50,HSD17B11
ANKRD50,SGMS2
ANKRD50,ANK2
ANKRD50,MFSD8
ANKRD50,COX18
ANKRD50,ARHGAP24
ANKRD50,NFKB1
ANKRD50,CISD2
ANKRD50,HPSE
INTS12,RASGEF1B
INTS12,TET2
INTS12,LIN54
INTS12,ENPEP
INTS12,CCNG2
INTS12,METAP1
INTS12,THAP6
INTS12,MRPS18C
INTS12,DAPP1
INTS12,HERC6
INTS12,TBCK
INTS12,SLC10A7
INTS12,PGRMC2
INTS12,ALPK1
INTS12,ANKRD17
INTS12,OSTC
INTS12,ANTXR2
INTS12,SEC24B
INTS12,SCARB2
INTS12,IL15
INTS12,TIFA
INTS12,MAD2L1
INTS12,NAP1L5
INTS12,LARP1B
INTS12,KLHL8
INTS12,COPS4
INTS12,MANBA
INTS12,RAB33B
INTS12,NUDT9
INTS12,BTC
INTS12,PLA2G12A
INTS12,SMARCA5
INTS12,PF4
INTS12,SDAD1
INTS12,OTUD4
INTS12,ELF2
INTS12,LSM6
INTS12,LEF1
INTS12,PPBP
INTS12,RASSF6
INTS12,STBD1
INTS12,C4orf36
INTS12,ANXA5
INTS12,COQ2
INTS12,BANK1
INTS12,SMARCAD1
INTS12,PPP3CA
INTS12,MRPL1
INTS12,HHIP
INTS12,HERC3
INTS12,HELQ
INTS12,ANAPC10
