Cluster,GWAS genes,Cluster genes
0,HHIP BTC NAP1L5,CNOT6L ADH1C GAR1 CISD2 MTHFD2L HHIP CAMK2D INPP4B PTPN13 SLC10A7 BTC PGRMC2 HERC3 HSPA4L SPATA5 SCD5 DNAJB14 OTUD4 CDKL2 CCNI ANKRD50 PRKG2 ARSJ SLC39A8 MAML3 SEC24D NAP1L5 EIF4E ADH1B RAP1GDS1 SETD7 GAB1 BDH2
1,,EXOSC9 TIFA RCHY1 TIGD2 MRPS18C BANK1 ENPEP ANK2 MAPK10 UBE2D3 SCOC HNRNPD SNCA EMCN HPGDS HELQ USO1 COPS4 SPP1 SMARCAD1 PCDH18
2,TET2,AFF1 G3BP2 CASP6 ARHGAP24 TET2 SMARCA5 BMP3 TSPAN5 HSD17B11 NUP54 METAP1 CXCL11 ELMOD2 RPL34 OSTC SCLT1 TRAM1L1 ENOPH1 CCNG2 PRDM8 AP1AR
3,PPM1K,MFSD8 GSTCD HERC5 INTS12 PAQR3 ZNF330 PF4 HERC6 LIN54 C4orf36 NFKB1 IL15 MMAA C4orf3 ADH5 PPM1K PLAC8 PDE5A LSM6 ANXA3
4,NPNT,BBS12 ANKRD17 PLA2G12A THAP6 GPRIN3 MMRN1 RNF150 COX18 ELOVL6 NPNT ZNF827 TNIP3 SEC31A RASSF6 CXCL1 MRPL1 NDUFC1 LARP7 USP38 STBD1
5,,MGST2 SPARCL1 PDLIM5 GYPE RASGEF1B HADH ANTXR2 USP53 CYP2U1 AIMP1 SGMS2 ELF2 LARP1B NAA15 KLHL8
6,,CXCL2 PKD2 FAT4 CXCL3 C4orf33 ANXA5 TMEM150C CXCL5 SDAD1 TBCK PPP3CA RAB33B ABCE1 PPBP
7,,SYNPO2 ANAPC10 PRDM5 DKK2 NUDT9 FRAS1 DAPP1 SEC24B NAAA CFI SPRY1 ALPK1 MANBA MAD2L1
8,,METTL14 SCARB2 THAP9 TBC1D9 PRSS12 CXCL9 SHROOM3 INTU COQ2 ABCG2 CCNA2 SMAD1 PLK4 BMP2K
9,FAM13A PPA2,FAM13A FGF2 WDFY3 PPA2 CDS1 CXCL10 HPSE PAPSS1
