Gene_1,Gene_2
USO1,CCNI
USO1,IL15
USO1,TIFA
USO1,OTUD4
USO1,SEC31A
USO1,PPM1K
USO1,ELMOD2
ANKRD50,SCARB2
ANKRD50,GAR1
ANKRD50,RAB33B
ANKRD50,FRAS1
ANKRD50,ADH1C
ANKRD50,CXCL3
INTS12,LIN54
INTS12,METAP1
INTS12,MRPS18C
INTS12,HERC6
INTS12,ANKRD17
INTS12,SCARB2
INTS12,LSM6
INTS12,ANXA5
INTS12,PRSS12
RASGEF1B,TET2
RASGEF1B,PDE5A
RASGEF1B,NAA15
RASGEF1B,BDH2
RASGEF1B,SEC24B
RASGEF1B,NPNT
RASGEF1B,CYP2U1
RASGEF1B,RAB33B
RASGEF1B,SCD5
RASGEF1B,ELF2
RASGEF1B,HELQ
RASGEF1B,TNIP3
RASGEF1B,MGST2
RASGEF1B,NUP54
PARM1,PLK4
HSPA4L,BBS12
C4orf33,METAP1
C4orf33,PGRMC2
C4orf33,NAP1L5
C4orf33,MTHFD2L
CCNI,USO1
CCNI,EIF4E
CCNI,ABCE1
CCNI,PGRMC2
CCNI,BDH2
CCNI,C4orf36
CCNI,SMARCAD1
CCNI,HERC3
CCNI,PDLIM5
CCNI,CDKL2
CCNI,ARSJ
CCNI,DNAJB14
CCNI,PRDM5
MAML3,BTC
MAML3,BBS12
MAML3,PPM1K
TET2,RASGEF1B
TET2,RAP1GDS1
TET2,NAA15
TET2,AFF1
TET2,PPA2
TET2,PGRMC2
TET2,MAD2L1
TET2,COQ2
TET2,ENOPH1
TET2,MMAA
TET2,ANK2
TET2,NAAA
TET2,GPRIN3
ADH5,THAP6
ADH5,RCHY1
ADH5,SMARCA5
ADH5,SCD5
ADH5,PLAC8
ADH5,SMARCAD1
ADH5,PDLIM5
ADH5,SEC31A
ADH5,MFSD8
ADH5,ANXA3
ADH5,SPRY1
PAQR3,PDE5A
PAQR3,SEC24B
PAQR3,PF4
PAQR3,FRAS1
PAQR3,CASP6
SLC39A8,MRPS18C
SLC39A8,METTL14
SLC39A8,HHIP
SLC39A8,PRKG2
SLC39A8,HADH
SLC39A8,GPRIN3
FAT4,NAA15
FAT4,AFF1
FAT4,TSPAN5
FAT4,LSM6
FAT4,PPBP
FAT4,STBD1
LIN54,INTS12
LIN54,EXOSC9
LIN54,PF4
LIN54,LSM6
LIN54,SMARCAD1
LIN54,PPM1K
LIN54,SPARCL1
LIN54,GPRIN3
PDE5A,RASGEF1B
PDE5A,PAQR3
PDE5A,HERC6
PDE5A,PGRMC2
PDE5A,ANKRD17
PDE5A,IL15
PDE5A,SCOC
PDE5A,GAR1
PDE5A,BTC
PDE5A,LSM6
PDE5A,WDFY3
PDE5A,CXCL3
