Cluster,GWAS genes,Cluster genes
0,PPA2 BTC TET2,SYNPO2 GAR1 TET2 PAQR3 USP38 SHROOM3 PPA2 PF4 INPP4B HSD17B11 BTC ANK2 SPARCL1 HERC3 PGRMC2 SCD5 MMAA IL15 ANAPC10 FRAS1 SGMS2 ANKRD50 CFI PDE5A
1,,GSTCD INTS12 MRPS18C HERC6 ELF2 USP53 SEC24D CXCL9 CCNA2 BMP2K MGST2 MAPK10 DNAJB14 HNRNPD RASGEF1B OTUD4 THAP9 HELQ PRSS12 INTU COQ2 CCNG2 LSM6
2,HHIP,PRKG2 HADH TIGD2 RCHY1 CISD2 PLA2G12A MTHFD2L HHIP SLC39A8 ANXA5 ALPK1 ENPEP COX18 CXCL2 ANTXR2 CDS1 ADH1B CDKL2 PAPSS1 TBCK PKD2 HPSE
3,,EXOSC9 PDLIM5 ADH1C CASP6 DAPP1 SMARCA5 SEC24B ZNF330 NAA15 SPRY1 C4orf36 MAD2L1 RASSF6 CXCL1 DKK2 MRPL1 NUDT9 ADH5 NAAA PLAC8 ANXA3 PCDH18
4,NPNT,FGF2 G3BP2 CXCL3 CXCL5 SLC10A7 NUP54 RAB33B ABCE1 ELOVL6 NPNT SEC31A OSTC CYP2U1 SCLT1 NDUFC1 C4orf3 RAP1GDS1 LARP7 LARP1B PPP3CA SETD7
5,PPM1K,MFSD8 HERC5 AFF1 TIFA CNOT6L PRDM5 TBC1D9 ARHGAP24 ARSJ BANK1 BMP3 GAB1 PTPN13 UBE2D3 NFKB1 EIF4E USO1 PPM1K CCNI BDH2
6,,METTL14 KLHL8 SCOC ZNF827 TNIP3 ELMOD2 SCARB2 HPGDS ANKRD17 BBS12 THAP6 MMRN1 ABCG2 MAML3 SMAD1 STBD1 PLK4 RNF150
7,FAM13A,FAM13A SPATA5 CXCL11 GYPE C4orf33 PARM1 PRDM8 TRAM1L1 TSPAN5 AIMP1 FAT4 METAP1 PPBP
8,,COPS4 SPP1 GPRIN3 SNCA SMARCAD1 LIN54
9,,TMEM150C EMCN RPL34 MANBA SDAD1 AP1AR
