Gene_1,Gene_2
AP1AR,PLA2G12A
AP1AR,ADH5
ANK2,RAP1GDS1
ANK2,PPA2
ANK2,HERC5
ANK2,MANBA
ANK2,PTPN13
ANK2,LINC01094
CCNA2,CCNG2
CCNA2,GAR1
CCNA2,BDH2
CCNA2,TMEM150C
CCNA2,CXCL10
CCNA2,CXCL11
CCNA2,WDFY3-AS2
GAB1,PDLIM5
GAB1,MTHFD2L
GAB1,HERC5
GAB1,STBD1
GAB1,NAA15
GAB1,UBE2D3
GAB1,HERC6
GAB1,ZNF330
GAB1,LARP1B
GAB1,ANXA3
GAB1,ARSJ
GAB1,ANXA5
GAB1,AIMP1
GAB1,HNRNPDL
GAB1,BMP3
GAB1,USP53
FAM13A-AS1,PPA2
RPL34,HSD17B11
RPL34,THAP6
RPL34,SMARCA5
RPL34,PPM1K
RPL34,SLC39A8
RAP1GDS1,ANK2
RAP1GDS1,TIFA
RAP1GDS1,SPARCL1
RAP1GDS1,SMARCA5
RAP1GDS1,SCD5
RAP1GDS1,UNC5C
RAP1GDS1,ADH1B
TBCK,NUP54
TBCK,EXOSC9
TBCK,MTHFD2L
TBCK,NAA15
TBCK,SDAD1
TBCK,UBE2D3
TBCK,FGF2
TBCK,ADH5
TBCK,HADH
TBCK,LARP1B
TBCK,AIMP1
TBCK,HNRNPDL
TBCK,ADH1C
TBCK,BMP3
TBCK,OTUD4
TBCK,AFF1
TBCK,ABCE1
CXCL3,SCARB2
CXCL3,DAPP1
USP38,CASP6
USP38,ANKRD17
USP38,SCARB2
USP38,HERC5
USP38,BDH2
USP38,SCD5
USP38,MANBA
USP38,ADH5
USP38,RASGEF1B
USP38,MGST2
SLC9B2,HERC5
SLC9B2,HPGDS
SLC9B2,MANBA
SLC9B2,NDNF
SLC9B2,BMP3
TBC1D9,JADE1
TBC1D9,ZNF827
TBC1D9,PDLIM5
TBC1D9,CXCL2
TBC1D9,STBD1
TBC1D9,EMCN
TBC1D9,UBE2D3
TBC1D9,ZNF330
TBC1D9,FGF2
TBC1D9,TIGD2
TBC1D9,AREG
TBC1D9,AIMP1
TBC1D9,THAP9
TBC1D9,GPAT3
TBC1D9,USP53
TBC1D9,PGRMC2
TIFA,RAP1GDS1
TIFA,COPS4
TIFA,SCARB2
TIFA,BDH2
TIFA,MAD2L1
TIFA,MANBA
TIFA,ADH5
COPS4,TIFA
CASP6,USP38
CASP6,THAP6
CASP6,TNIP3
CASP6,BDH2
CASP6,SDAD1
CASP6,UBE2D3
CASP6,EIF4E
CASP6,NFKB1
CASP6,NUDT6
CASP6,WDFY3-AS2
CASP6,PPM1K
CASP6,ABCE1
NUP54,TBCK
NUP54,SCARB2
NUP54,GSTCD
NUP54,CCNG2
NUP54,RASSF6
NUP54,GAR1
NUP54,ABCG2
NUP54,PLA2G12A
NUP54,PDE5A
NUP54,ELMOD2
NUP54,SPATA5
NUP54,NFKB1
NUP54,ADH5
NUP54,LIN54
NUP54,SLC10A7
NUP54,COX18
NUP54,PPM1K
PRDM5,LARP1B
PRDM5,BMP3
PRDM5,USP53
PRDM5,AFF1
LEF1,SETD7
LEF1,ANTXR2
GYPE,HERC6
GYPE,EIF4E
GYPE,PTPN13
GYPE,OSTC
GYPE,ANXA5
GYPE,BMP3
GYPE,CDKL2
GYPE,PPM1K
GYPE,ARHGEF38
THAP9-AS1,ANAPC10
THAP9-AS1,PPA2
THAP9-AS1,LSM6
THAP9-AS1,PYURF
THAP9-AS1,MRPL1
ANKRD17,USP38
ANKRD17,TET2
ANKRD17,ZGRF1
ANKRD17,LINC02615
ANKRD17,SEPTIN7P14
ANKRD17,NUDT6
ANKRD17,COX18
ANKRD17,PPM1K
HSD17B11,RPL34
HSD17B11,THAP6
HSD17B11,TNIP3
HSD17B11,RASSF6
HSD17B11,HERC6
HSD17B11,EIF4E
HSD17B11,BLTP1
HSD17B11,OSTC
HSD17B11,FAM13A
HSD17B11,ANXA5
HSD17B11,SEC24B-AS1
HSD17B11,THAP9
HSD17B11,FAM47E
HSD17B11,PPM1K
SCARB2,CXCL3
SCARB2,USP38
SCARB2,TIFA
SCARB2,NUP54
SCARB2,PDLIM5
SCARB2,NAP1L5
SCARB2,CXCL2
SCARB2,SPARCL1
SCARB2,FAM241A
SCARB2,NAA15
SCARB2,UBE2D3
SCARB2,ZNF330
SCARB2,ELF2
SCARB2,AREG
SCARB2,SEPTIN11
SCARB2,RASGEF1B
SCARB2,GPAT3
SCARB2,PYURF
SCARB2,CXCL8
SCARB2,ABCE1
SCARB2,NOCT
C4orf36,ZNF827
C4orf36,PDLIM5
C4orf36,TRAM1L1
C4orf36,STBD1
C4orf36,G3BP2
C4orf36,NAA15
C4orf36,UBE2D3
C4orf36,FGF2
C4orf36,EIF4E
C4orf36,ELF2
C4orf36,LARP1B
C4orf36,PAQR3
C4orf36,AIMP1
C4orf36,BMP3
C4orf36,USP53
C4orf36,PGRMC2
JADE1,TBC1D9
JADE1,TET2
JADE1,CXCL9
JADE1,SPATA5
JADE1,MAML3
JADE1,CXCL10
JADE1,FAM13A
JADE1,CXCL11
JADE1,SEC24B
JADE1,WDFY3-AS2
JADE1,SHROOM3
JADE1,GPAT3
JADE1,PPM1K
THAP6,RPL34
THAP6,CASP6
THAP6,HSD17B11
THAP6,SCOC
THAP6,CCNG2
THAP6,ANAPC10
THAP6,BBS12
THAP6,PPA2
THAP6,MTHFD2L
THAP6,HERC5
THAP6,BDH2
THAP6,ADH1B
THAP6,ADH5
THAP6,HADH
THAP6,SLC10A7
THAP6,HNRNPDL
THAP6,WDFY3-AS2
THAP6,OTUD4
THAP6,MGST2
SCOC,THAP6
SCOC,PDLIM5
SCOC,NAP1L5
SCOC,CXCL2
SCOC,UBE2D3
SCOC,ABHD18
SCOC,SEPTIN11
SCOC,GTF2IP12
SCOC,RASGEF1B
SCOC,USP53
SCOC,PGRMC2
SCOC,CXCL8
SEC31A,HERC5
PPBP,PF4
GSTCD,NUP54
GSTCD,INTS12
GSTCD,ZNF827
GSTCD,CFI
GSTCD,PTPN13
GSTCD,LARP1B
GSTCD,ARSJ
GSTCD,AIMP1
GSTCD,PYURF
INTS12,GSTCD
INTS12,GAR1
INTS12,HERC5
INTS12,SPATA5
INTS12,ANTXR2
INTS12,PPM1K
TET2,ANKRD17
TET2,JADE1
TET2,DNAJB14
TET2,AFF1
ZNF827,TBC1D9
ZNF827,C4orf36
ZNF827,GSTCD
ZNF827,CCNG2
ZNF827,BBS12
ZNF827,HERC5
ZNF827,PDE5A
ZNF827,HERC6
ZNF827,DKK2
ZNF827,SPATA5
ZNF827,TMEM150C
ZNF827,CYP2U1
ZNF827,ADH1B
ZNF827,ADH5
ZNF827,SLC10A7
ZNF827,WDFY3-AS2
ZNF827,ANTXR2
CCNG2,CCNA2
CCNG2,NUP54
CCNG2,THAP6
CCNG2,ZNF827
CCNG2,GAR1
CCNG2,HERC5
CCNG2,CFI
CCNG2,STBD1
CCNG2,NAA15
CCNG2,SDAD1
CCNG2,UBE2D3
CCNG2,FGF2
CCNG2,EIF4E
CCNG2,LARP1B
CCNG2,SEPTIN7P14
CCNG2,ANXA3
CCNG2,ARSJ
CCNG2,FAM13A
CCNG2,ANXA5
CCNG2,AIMP1
CCNG2,ADH1C
CCNG2,BMP3
CCNG2,OTUD4
CCNG2,PGRMC2
