Cluster,GWAS genes,Cluster genes
0,FAM13A BTC,SHROOM3 BMP3 CNOT6L PPP3CA BTC JADE1 INPP4B DKK2 NDNF SYNPO2 RNF150 SOWAHB LINC01088 ARSJ ADH1B GPAT3 PKD2 FAM13A SPARCL1 SMAD1 PRDM5 ELMOD2 PDE5A ANKRD50 PDLIM5 GYPE MMRN1 USP53 PCDH18
1,PPA2 HHIP,ARHGEF38 HHIP CASP6 STBD1 FAM47E PTPN13 NUDT9 FRAS1 RAB33B PRSS12 CDKL2 ADH1C SLC39A8 BBS12 SEPTIN11 PAPSS1 DAPP1 RASSF6 PYURF HSD17B11 HHIP-AS1 PLAC8 PPA2 CDS1 PARM1 PAQR3 BANK1 ADH5
2,NAP1L5,OTUD4 CXCL3 SPRY1 SETD7 NAP1L5 CXCL8 RASGEF1B G3BP2 CXCL5 PF4 AIMP1 PPBP AREG CXCL2 DNAJB14 AFF1 CXCL1 FLJ20021 SGMS2 NOCT LARP7 AP1AR USP38 KLHL8
3,PPM1K,HERC6 MTHFD2L PPM1K HERC5 TBC1D9 TRAM1L1 SMARCA5 SEC31A NUP54 HNRNPDL MAD2L1 HNRNPD OSTC PLK4 GAR1 TIFA CCNI CCNA2 SEC24D H2AZ1
4,NPNT,CFI CCNG2 MAML3 ZNF330 CXCL10 ENOPH1 NPNT CYP2U1 CAMK2D GAB1 HSPA4L MGST2 LIN54 BDH2 WDFY3-AS2 COPS4 CXCL11
5,,MAPK10 ANXA5 ABCG2 LARP1B RAP1GDS1 GTF2IP12 SEPTIN7P14 THAP9 SEC24B C4orf3 METAP1 SCARB2 ANTXR2 SCLT1 PGRMC2 ARHGAP24
6,,RPL34 SCOC NFKB1 NAA15 CISD2 NDUFC1 ABRAXAS1 THAP6 UBE2D3 FGF2 FAM241A ABCE1 EIF4E SDAD1 TNIP3
7,TET2,ZGRF1 ANK2 FAM13A-AS1 SMARCAD1 INTU FAT4 BLTP1 UNC5C ABHD18 THAP9-AS1 USO1 MFSD8 TET2
8,,IL15 NAAA CXCL9 LSM6 HPSE HPGDS SNCA MRPL1 LEF1 HADH MCUB BMP2K PRDM8
9,,PRKG2 COQ2 MANBA EMCN SCD5 LINC01094 GPRIN3 ANXA3 ALPK1 TMEM150C ZNF827
