Cluster,GWAS genes,Cluster genes
0,PPA2,CCNG2 STBD1 HERC5 NAA15 ABRAXAS1 CXCL8 EMCN INPP4B AIMP1 RNF150 AREG ADH1B BBS12 SEPTIN11 CXCL9 UBE2D3 C4orf3 SCARB2 TSPAN5 ELMOD2 PDE5A C4orf36 PPA2 ANTXR2 PGRMC2 PCDH18 ZNF827
1,,CXCL3 TBC1D9 ZNF330 ABCG2 PLA2G12A FAM241A SCD5 ARSJ DNAJB14 CXCL2 ARHGAP24 SLC39A8 PKD2 CXCL1 FLJ20021 DAPP1 FGF2 WDFY3 PDLIM5 MCUB NOCT AP1AR HELQ TIGD2 ANXA3 USP53 COX18
2,,HERC6 NFKB1 THAP6 BLTP1 ABHD18 ABCE1 ANAPC10 ADH5 LINC01094 EIF4E RCHY1 NUDT6 SGMS2 MANBA HADH SEC24D BDH2 THAP9-AS1 USP38 OTUD4
3,FAM13A,CFI RPL34 FAM47E SPRY1 COQ2 FAT4 SMARCA5 HNRNPDL TMEM150C FAM13A CYP2U1 HPGDS RASSF6 HSD17B11 PYURF PARM1 HERC3 WDFY3-AS2 GPRIN3 TNIP3
4,PPM1K,PAPSS1 BBS7 EXOSC9 PPM1K SEC24B SLC10A7 CCSER1 GSTCD INTS12 SPATA5 DKK2 ELF2 NUP54 PAQR3
5,HHIP NPNT,HHIP PRKG2 BMP3 SETD7 SNCA HHIP-AS1 GAB1 CDKL2 LEF1 GYPE NDNF NPNT
6,TET2,ZGRF1 OSTC FAM13A-AS1 RAB33B-AS1 INTU MRPL1 MGST2 ANKRD17 LARP7 AFF1 TET2
7,,HPSE CISD2 MAML3 GPAT3 JADE1 CXCL10 CCNA2 LARP1B CXCL11 MAD2L1
8,,ENOPH1 ANK2 SPARCL1 UNC5C RAP1GDS1 MMRN1 PRDM8
9,,MTHFD2L TBCK RAB33B GAR1 SDAD1
