Gene_1,Gene_2
ABCG2,MANBA
ABCG2,LSM6
ABCG2,LARP1B
ABCG2,ANXA5
ABCG2,IL15
ABCG2,MMRN1
ABCG2,SMAD1
ABHD18,CCNI
ABHD18,GTF2IP12
ABHD18,C4orf3
ABHD18,SEPTIN7P14
ABHD18,ADH5
ABHD18,USO1
ABHD18,SEC24B-AS1
ABHD18,CYP2U1
ABHD18,H2AZ1
ABHD18,UNC5C
ABHD18,BLTP1
ABHD18,HNRNPDL
ABHD18,LARP1B
ABHD18,INTU
ABHD18,ANTXR2
ABHD18,PGRMC2
ABHD18,PPM1K
ABHD18,ARHGEF38
ABHD18,CDS1
ABRAXAS1,NAA15
ABRAXAS1,INPP4B
ABRAXAS1,EIF4E
ABRAXAS1,LARP1B
ABRAXAS1,AREG
ABRAXAS1,SEPTIN11
ABRAXAS1,ANXA3
ABRAXAS1,CAMK2D
ABRAXAS1,CCNI
ABRAXAS1,WDFY3-AS2
ABRAXAS1,ADH1C
ADH1B,ANKRD50
ADH1B,USP53
ADH1B,MMRN1
ADH1B,ADH1C
ADH1B,MAPK10
ADH1B,CCNI
ADH1B,ARSJ
ADH1C,USP53
ADH1C,SLC39A8
ADH1C,FAM47E
ADH5,FAM47E
ADH5,MGST2
ADH5,OTUD4
ADH5,LAMTOR3
ADH5,ANTXR2
ADH5,GTF2IP12
ADH5,C4orf3
ADH5,BLTP1
AFF1,ARHGEF38
AIMP1,MMRN1
ALPK1,PGRMC2
ALPK1,IL15
ALPK1,TSPAN5
ALPK1,INTU
ALPK1,BMP2K
ALPK1,GPRIN3
ALPK1,CCNI
ALPK1,GTF2IP12
ALPK1,C4orf3
ALPK1,ANXA3
ALPK1,ADH5
ALPK1,CYP2U1
ALPK1,UNC5C
ALPK1,ABHD18
ALPK1,ANTXR2
ALPK1,TMEM150C
ANAPC10,PYURF
ANAPC10,G3BP2
ANAPC10,ENOPH1
ANAPC10,ZNF330
ANAPC10,LSM6
ANAPC10,H2AZ1
ANAPC10,LAMTOR3
ANAPC10,HNRNPDL
ANAPC10,MRPL1
ANK2,SLC39A8
ANK2,CXCL8
ANK2,CDS1
ANK2,AIMP1
ANK2,NFKB1
ANK2,KLHL8
ANK2,TIGD2
ANK2,MANBA
ANK2,RNF150
ANK2,PKD2
ANK2,CFI
ANK2,METAP1
ANK2,FAT4
ANK2,GAB1
ANK2,UNC5C
ANKRD17,PGRMC2
ANKRD17,OTUD4
ANKRD17,NUDT6
ANKRD17,ANKRD50
ANKRD17,ELF2
ANKRD17,PTPN13
ANKRD17,SCD5
ANKRD17,SDAD1
ANKRD17,FLJ20021
ANKRD17,WDFY3
ANKRD17,SCOC
ANKRD17,PYURF
ANKRD17,MGST2
ANKRD17,AFF1
ANKRD17,LIN54
ANKRD50,OTUD4
ANKRD50,LIN54
ANKRD50,FAM13A
ANKRD50,CDKL2
ANKRD50,PCDH18
ANTXR2,ARHGEF38
ANTXR2,PGRMC2
ANTXR2,OTUD4
ANXA3,SLC10A7
ANXA3,ADH1C
ANXA3,NPNT
ANXA3,PRKG2
ANXA3,SHROOM3
ANXA3,SPP1
ANXA3,SLC39A8
ANXA3,ABCE1
ANXA3,CAMK2D
ANXA5,LAMTOR3
ANXA5,MAPK10
ANXA5,THAP9
ANXA5,LINC01094
AP1AR,ANKRD17
AP1AR,KLHL8
AP1AR,NUDT6
AP1AR,FAM13A
AP1AR,GPRIN3
AP1AR,OTUD4
AREG,RASGEF1B
AREG,CXCL8
AREG,PCDH18
AREG,NOCT
AREG,SHROOM3
AREG,BMP3
AREG,HNRNPDL
AREG,LINC01094
AREG,LAMTOR3
AREG,LIN54
AREG,USP53
ARSJ,SHROOM3
ARSJ,FAM13A
BANK1,FRAS1
BANK1,PRSS12
BANK1,DAPP1
BANK1,MAML3
BANK1,UNC5C
BANK1,SLC39A8
BBS12,AREG
BBS12,HNRNPDL
BBS12,PLAC8
BBS12,OTUD4
BBS12,CDS1
BBS12,SEC24B
BBS12,BLTP1
BBS12,ZGRF1
BBS12,BDH2
BBS12,LARP7
BBS12,EXOSC9
BBS12,NAP1L5
BBS12,FAM47E
BBS12,NOCT
BDH2,LIN54
BLTP1,HADH
BLTP1,OSTC
BLTP1,LARP1B
BLTP1,SEPTIN7P14
BLTP1,C4orf3
BLTP1,PPM1K
BLTP1,PGRMC2
BLTP1,IL15
BLTP1,ANTXR2
BLTP1,INTU
BLTP1,BMP3
BLTP1,CDS1
BLTP1,PLAC8
BLTP1,HNRNPDL
BLTP1,ANXA5
BLTP1,GTF2IP12
BLTP1,CCNI
BMP2K,LINC01094
BMP2K,HPSE
BMP3,ABCE1
BMP3,NOCT
BMP3,AFF1
BMP3,CDKL2
BTC,PRSS12
BTC,NDNF
BTC,HADH
BTC,NPNT
BTC,MAPK10
BTC,CDS1
BTC,SHROOM3
BTC,FAM47E
BTC,PDE5A
BTC,SMAD1
C4orf3,ABCE1
C4orf3,MGST2
C4orf3,PYURF
C4orf3,GPRIN3
CAMK2D,SLC10A7
CAMK2D,HNRNPDL
CCNA2,PLK4
CCNA2,MAD2L1
CCNG2,ABRAXAS1
CCNG2,NOCT
CCNG2,ABCE1
CCNG2,HNRNPDL
CCNG2,CAMK2D
CCNG2,SETD7
CCNG2,PAQR3
CCNG2,LARP1B
CCNG2,ABHD18
CCNG2,MAML3
CCNG2,MFSD8
CCNG2,MANBA
CCNG2,KLHL8
CCNG2,NAA15
CCNG2,SGMS2
CCNG2,CCNI
CCNG2,WDFY3-AS2
CCNI,HNRNPDL
CCNI,WDFY3-AS2
CCNI,ANTXR2
CCNI,NAAA
CCNI,INTU
CCNI,ARHGEF38
CCNI,PGRMC2
CCNI,OTUD4
CCNI,IL15
CCNI,BMP3
CCNI,ABCE1
CDKL2,SLC39A8
CDKL2,ARHGEF38
CDKL2,AFF1
CDS1,BMP3
CDS1,TSPAN5
CDS1,SHROOM3
CDS1,IL15
CDS1,FAM47E
CDS1,SLC39A8
CDS1,PCDH18
CDS1,CDKL2
CFI,SMAD1
CFI,AIMP1
CFI,LIN54
CFI,BDH2
CFI,DAPP1
CFI,PPM1K
CFI,RASGEF1B
CFI,NPNT
CFI,SPRY1
CFI,MCUB
CFI,MAML3
CFI,PTPN13
CISD2,HPSE
CISD2,LAMTOR3
CNOT6L,SLC39A8
CNOT6L,PPP3CA
CNOT6L,AFF1
CNOT6L,CDKL2
CNOT6L,SLC10A7
CNOT6L,CAMK2D
CNOT6L,FAM13A
CNOT6L,LIN54
CNOT6L,ARHGEF38
COPS4,THAP9-AS1
COPS4,ANKRD17
COPS4,EMCN
COPS4,THAP6
COPS4,G3BP2
COPS4,AFF1
COPS4,OTUD4
COPS4,ENOPH1
COPS4,HNRNPDL
COPS4,FAM13A
COPS4,CCNI
COPS4,GTF2IP12
COPS4,C4orf3
COPS4,SEPTIN7P14
COPS4,LARP1B
COPS4,STBD1
COPS4,BLTP1
COPS4,H2AZ1
COPS4,MCUB
COPS4,ABHD18
COPS4,ELF2
COPS4,ALPK1
COPS4,PTPN13
COPS4,DKK2
COPS4,ZNF330
COPS4,MFSD8
COPS4,SCD5
COPS4,ZGRF1
COPS4,ADH5
COPS4,PDE5A
COPS4,INTU
COPS4,MTHFD2L
COPS4,PRDM8
COPS4,SCOC
COPS4,SCARB2
COPS4,ANAPC10
COPS4,CCNG2
COQ2,MANBA
COQ2,FGF2
COQ2,TMEM150C
COQ2,HADH
COQ2,ANXA5
COQ2,DAPP1
COQ2,GPRIN3
COQ2,RAB33B
COQ2,LINC01094
COQ2,LAMTOR3
CXCL1,MAPK10
CXCL1,CXCL8
CXCL1,AREG
CXCL10,CXCL11
CXCL2,CXCL5
CXCL2,AREG
CXCL2,LARP1B
CXCL2,MANBA
CXCL2,LINC01094
CXCL2,DAPP1
CXCL2,BMP3
CXCL2,PCDH18
CXCL2,NOCT
CXCL3,PDLIM5
CXCL3,CCNG2
CXCL3,NAP1L5
CXCL3,SGMS2
CXCL3,MANBA
CXCL3,LARP1B
CXCL3,AREG
CXCL3,CXCL5
CXCL3,PCDH18
CXCL3,ABCE1
CXCL3,NOCT
CXCL3,JADE1
CXCL3,CXCL2
CXCL8,NOCT
CXCL9,SMAD1
CXCL9,HPSE
CXCL9,NAAA
CYP2U1,PCDH18
CYP2U1,ARHGEF38
CYP2U1,CDKL2
CYP2U1,HNRNPDL
CYP2U1,CCNI
CYP2U1,ADH1B
DAPP1,BMP2K
DAPP1,C4orf33
DAPP1,GPRIN3
DAPP1,NPNT
DAPP1,PGRMC2
DAPP1,ADH5
DAPP1,ALPK1
DAPP1,LINC01094
DAPP1,C4orf3
DAPP1,NAAA
DAPP1,HPSE
DAPP1,COX18
DAPP1,SLC39A8
DAPP1,PYURF
DKK2,CYP2U1
DKK2,NDNF
DKK2,ANKRD50
DKK2,HNRNPDL
DNAJB14,LIN54
DNAJB14,ADH1C
DNAJB14,MGST2
DNAJB14,AFF1
DNAJB14,PPP3CA
DNAJB14,NOCT
DNAJB14,CCNI
DNAJB14,CAMK2D
DNAJB14,ELF2
DNAJB14,SMARCAD1
DNAJB14,USO1
EIF4E,ABCE1
EIF4E,LAMTOR3
EIF4E,SHROOM3
EIF4E,BLTP1
EIF4E,ALPK1
ELF2,ADH5
ELF2,ABHD18
ELF2,C4orf3
ELF2,GTF2IP12
ELF2,OSTC
ELF2,OTUD4
ELF2,BLTP1
ELF2,SLC39A8
ELF2,MGST2
ELF2,SEC24B
ELMOD2,NOCT
ELMOD2,SLC39A8
ELMOD2,SLC10A7
ELMOD2,ANXA3
ELMOD2,OSTC
ELMOD2,DNAJB14
ELMOD2,COX18
EMCN,PTPN13
EMCN,SCD5
EMCN,TMEM150C
EMCN,HADH
EMCN,PRSS12
ENOPH1,PYURF
ENOPH1,ZGRF1
ENOPH1,ADH1B
ENOPH1,PTPN13
ENOPH1,NDNF
ENOPH1,ABHD18
ENOPH1,LSM6
ENOPH1,SDAD1
ENOPH1,BLTP1
ENOPH1,LAMTOR3
ENOPH1,C4orf3
ENOPH1,GTF2IP12
ENOPH1,FAM13A
ENOPH1,SLC39A8
ENOPH1,ANXA3
ENPEP,CISD2
EXOSC9,FAM47E
EXOSC9,CDS1
EXOSC9,HNRNPDL
EXOSC9,CAMK2D
EXOSC9,BLTP1
EXOSC9,CYP2U1
EXOSC9,HADH
EXOSC9,ZGRF1
EXOSC9,PARM1
EXOSC9,LARP7
EXOSC9,ABHD18
FAM13A,CDKL2
FAM13A,MAPK10
FAM13A,GPRIN3
FAM13A-AS1,CDS1
FAM13A-AS1,INTU
FAM13A-AS1,ANTXR2
FAM13A-AS1,HNRNPDL
FAM13A-AS1,PGRMC2
FAM13A-AS1,PPM1K
FAM13A-AS1,ARHGEF38
FAM13A-AS1,IL15
FAM13A-AS1,SEC24B-AS1
FAM13A-AS1,HADH
FAM13A-AS1,CCNI
FAM13A-AS1,SMAD1
FAM13A-AS1,ZGRF1
FAM13A-AS1,ENOPH1
FAM13A-AS1,G3BP2
FAM13A-AS1,LARP7
FAM13A-AS1,EXOSC9
FAM13A-AS1,SETD7
FAM13A-AS1,SCLT1
FAM13A-AS1,MFSD8
FAM13A-AS1,PDLIM5
FAM13A-AS1,SEC31A
FAM13A-AS1,THAP6
FAM13A-AS1,SCARB2
FAM13A-AS1,THAP9-AS1
FAM13A-AS1,NUP54
FAM13A-AS1,COPS4
FAM13A-AS1,USP38
FAM13A-AS1,ANXA5
FAM13A-AS1,TET2
FAM13A-AS1,LINC02615
FAM13A-AS1,SNCA
FAM13A-AS1,ABHD18
FAM13A-AS1,GTF2IP12
FAM13A-AS1,ANXA3
FAM13A-AS1,ELF2
FAM13A-AS1,LARP1B
FAM13A-AS1,OSTC
FAM13A-AS1,BLTP1
