Gene_1,Gene_2
ABCG2,MMRN1
ABCG2,CXCL5
ABCG2,ANXA5
ABCG2,SMAD1
ABHD18,INTU
ABHD18,ANTXR2
ABHD18,CDS1
ABHD18,HNRNPDL
ABHD18,ANXA5
ABHD18,CCNI
ABHD18,GTF2IP12
ABHD18,BLTP1
ABHD18,USO1
ABHD18,SEPTIN7P14
ABHD18,CYP2U1
ABHD18,SPRY1
ABRAXAS1,WDFY3-AS2
ABRAXAS1,INPP4B
ABRAXAS1,STBD1
ABRAXAS1,SEPTIN11
ADH1B,ANKRD50
ADH1B,ARSJ
ADH1B,FAM13A
ADH1B,USP53
ADH1B,ADH1C
ADH1B,TSPAN5
ADH1B,MMRN1
ADH1C,USP53
ADH1C,CDS1
ADH5,FAM47E
ADH5,SEPTIN11
ADH5,ANTXR2
ADH5,ABCE1
ADH5,SHROOM3
ADH5,INTU
ADH5,C4orf3
ADH5,OTUD4
ADH5,ARHGEF38
ALPK1,PGRMC2
ALPK1,GTF2IP12
ALPK1,INTU
ALPK1,LINC01094
ALPK1,GPRIN3
ALPK1,CYP2U1
ALPK1,ABHD18
ALPK1,USO1
ALPK1,ANXA3
ANAPC10,HNRNPDL
ANAPC10,LAMTOR3
ANAPC10,G3BP2
ANK2,MCUB
ANK2,ZGRF1
ANK2,UNC5C
ANK2,NFKB1
ANK2,CDS1
ANK2,PKD2
ANK2,TIGD2
ANK2,CFI
ANK2,SLC39A8
ANK2,PPP3CA
ANK2,KLHL8
ANK2,METAP1
ANK2,RASSF6
ANK2,RNF150
ANKRD17,SDAD1
ANKRD50,PCDH18
ANKRD50,CDS1
ANKRD50,AREG
ANKRD50,SLC39A8
ANTXR2,ARHGEF38
ANTXR2,PGRMC2
ANXA3,PRKG2
ANXA3,NPNT
ANXA3,GPRIN3
ANXA3,SHROOM3
ANXA3,SPP1
ANXA3,SLC39A8
ANXA3,GTF2IP12
ANXA5,GPRIN3
ANXA5,LINC01094
ANXA5,THAP9
AP1AR,JADE1
AP1AR,AREG
AREG,PCDH18
AREG,LAMTOR3
AREG,BMP3
AREG,LINC01094
AREG,LIN54
AREG,RASGEF1B
AREG,CXCL8
AREG,ARHGEF38
AREG,OTUD4
AREG,CDKL2
ARSJ,FAM13A
ARSJ,SHROOM3
ARSJ,LAMTOR3
BANK1,MAML3
BANK1,PARM1
BANK1,DAPP1
BANK1,PRKG2
BBS12,UBE2D3
BBS12,ZGRF1
BBS12,NAP1L5
BBS12,NOCT
BBS12,BLTP1
BBS12,OTUD4
BBS12,SEC24B
BBS12,CDS1
BDH2,WDFY3-AS2
BLTP1,ANTXR2
BLTP1,CDS1
BLTP1,ANXA5
BLTP1,GTF2IP12
BLTP1,INTU
BLTP1,PPM1K
BMP2K,HPSE
BMP2K,MRPL1
BMP2K,LINC01094
BMP3,CDKL2
BMP3,PPM1K
BMP3,ABCE1
BMP3,AFF1
BTC,PDE5A
BTC,FAM47E
BTC,SYNPO2
BTC,SHROOM3
BTC,NPNT
BTC,ARSJ
BTC,PRSS12
BTC,FRAS1
BTC,NDNF
BTC,ARHGEF38
BTC,HADH
C4orf3,PYURF
CAMK2D,WDFY3-AS2
CASP6,SETD7
CASP6,ANXA3
CASP6,CDKL2
CASP6,FGF2
CCNA2,PLK4
CCNA2,H2AZ1
CCNA2,MAD2L1
CCNA2,G3BP2
CCNG2,OSTC
CCNG2,LARP1B
CCNG2,CAMK2D
CCNG2,ABCE1
CCNG2,KLHL8
CCNG2,NOCT
CCNG2,MAML3
CCNG2,SETD7
CCNG2,CFI
CCNI,NAAA
CCNI,WDFY3-AS2
CCNI,INTU
CCNI,SEC24B
CCNI,HNRNPDL
CCNI,ANTXR2
CCNI,IL15
CDKL2,SLC39A8
CDKL2,ARHGEF38
CDS1,BMP3
CDS1,IL15
CDS1,PYURF
CDS1,CDKL2
CDS1,FAM47E
CDS1,PCDH18
CDS1,SHROOM3
CFI,DAPP1
CFI,PTPN13
CFI,ZNF330
CFI,SPRY1
CFI,OSTC
CFI,LARP1B
CFI,PPM1K
CFI,BDH2
CNOT6L,PCDH18
COPS4,ANAPC10
COPS4,CCNG2
COPS4,SCOC
COPS4,HNRNPDL
COPS4,THAP9-AS1
COPS4,PDE5A
COPS4,SCARB2
COPS4,AFF1
COPS4,HSD17B11
COPS4,MCUB
COPS4,ZGRF1
COPS4,ENOPH1
COPS4,G3BP2
COPS4,DAPP1
COPS4,PTPN13
COPS4,ALPK1
COPS4,ELF2
COPS4,ZNF330
COPS4,ADH5
COPS4,SEPTIN7P14
COPS4,DKK2
COPS4,C4orf3
COPS4,GTF2IP12
COPS4,STBD1
COQ2,LAMTOR3
COQ2,LINC01094
COQ2,GPRIN3
COQ2,ANXA5
COQ2,LSM6
COQ2,MANBA
COQ2,TMEM150C
COQ2,ALPK1
CXCL1,CXCL8
CXCL1,AREG
CXCL10,CXCL11
CXCL2,CXCL5
CXCL2,CXCL1
CXCL2,SMARCA5
CXCL2,AREG
CXCL3,CXCL2
CXCL3,AREG
CXCL3,CXCL5
CXCL3,CXCL8
CXCL3,PCDH18
CXCL3,ABCE1
CXCL3,NOCT
CXCL3,JADE1
CXCL3,COPS4
CXCL5,ARHGEF38
CXCL8,NOCT
CXCL9,RNF150
CXCL9,SMAD1
CXCL9,NPNT
CXCL9,CXCL11
CXCL9,NAAA
CXCL9,HPSE
CYP2U1,HNRNPDL
CYP2U1,C4orf3
CYP2U1,ADH1B
CYP2U1,SEC24B
DAPP1,BMP2K
DAPP1,C4orf33
DAPP1,SLC39A8
DAPP1,LINC01094
DAPP1,PYURF
DAPP1,ELMOD2
DAPP1,PGRMC2
DAPP1,ADH5
DAPP1,CCNI
DAPP1,GPRIN3
DAPP1,HPSE
DKK2,MAPK10
DKK2,ANKRD50
DKK2,CYP2U1
DNAJB14,NOCT
DNAJB14,LIN54
DNAJB14,CCNI
EIF4E,OTUD4
EIF4E,PTPN13
EIF4E,ABCE1
EIF4E,SHROOM3
EIF4E,ANXA5
ELF2,OTUD4
ELMOD2,OSTC
ELMOD2,PPP3CA
EMCN,SCD5
EMCN,TMEM150C
ENOPH1,SMAD1
ENOPH1,SEPTIN11
ENOPH1,C4orf3
ENOPH1,PYURF
EXOSC9,CDS1
EXOSC9,HNRNPDL
EXOSC9,PARM1
EXOSC9,LARP7
EXOSC9,BLTP1
FAM13A,SHROOM3
FAM13A,USP53
FAM13A-AS1,THAP9-AS1
FAM13A-AS1,ZGRF1
FAM13A-AS1,SEC31A
FAM13A-AS1,TET2
FAM13A-AS1,SCLT1
FAM13A-AS1,EXOSC9
FAM13A-AS1,SNCA
FAM13A-AS1,HHIP
FAM13A-AS1,LARP7
FAM13A-AS1,SCARB2
FAM13A-AS1,MFSD8
FAM13A-AS1,HADH
FAM13A-AS1,ANTXR2
FAM13A-AS1,INTU
FAM13A-AS1,PGRMC2
FAM13A-AS1,ABHD18
FAM13A-AS1,CDS1
FAM13A-AS1,ANXA5
FAM13A-AS1,CCNI
FAM13A-AS1,ADH5
FAM13A-AS1,GTF2IP12
FAM13A-AS1,G3BP2
FAM13A-AS1,OSTC
FAM13A-AS1,BLTP1
FAM13A-AS1,IL15
FAM241A,SPRY1
FAM241A,UBE2D3
FAM241A,SMAD1
FAM241A,EMCN
FAM241A,G3BP2
FAM241A,PPP3CA
FAM241A,MMRN1
FAM241A,BMP2K
FAM241A,SHROOM3
FAT4,ANXA3
FAT4,BANK1
FAT4,LARP7
FAT4,HNRNPD
FAT4,UNC5C
FAT4,CISD2
FAT4,ANTXR2
FAT4,PCDH18
FGF2,EIF4E
FGF2,MGST2
FGF2,ARSJ
FGF2,NPNT
FGF2,HNRNPDL
FGF2,OTUD4
FLJ20021,SPRY1
FLJ20021,GPRIN3
FRAS1,NPNT
FRAS1,MMRN1
FRAS1,MAML3
FRAS1,HADH
FRAS1,ANKRD50
FRAS1,SEPTIN11
G3BP2,GPRIN3
G3BP2,RASGEF1B
G3BP2,CCNI
G3BP2,CNOT6L
G3BP2,AFF1
G3BP2,LINC01094
G3BP2,SEPTIN11
GAB1,FAM13A
GAB1,PRDM5
GAB1,CFI
GAB1,SMARCA5
GAB1,SPATA5
GAB1,ANKRD50
GAB1,SLC39A8
GAB1,ANXA3
GAB1,RAB33B
GAB1,ANXA5
GAR1,HNRNPD
GAR1,SEC24B
GPRIN3,SHROOM3
GPRIN3,LIN54
GPRIN3,COX18
GPRIN3,LINC01094
GPRIN3,BMP2K
GSTCD,INPP4B
GTF2IP12,ANXA5
GYPE,SMAD1
GYPE,PRKG2
GYPE,JADE1
GYPE,PDE5A
GYPE,SCD5
H2AZ1,HADH
H2AZ1,LAMTOR3
H2AZ1,MGST2
HADH,HNRNPDL
HADH,OTUD4
HADH,IL15
HADH,CDS1
HADH,CCNI
HADH,CXCL5
HERC5,HADH
HERC5,GPRIN3
HERC5,NDUFC1
HERC5,ELOVL6
HERC5,H2AZ1
HERC5,CCNI
HERC5,RASGEF1B
HERC5,HERC6
HERC5,WDFY3-AS2
HERC5,MANBA
HERC5,AFF1
HERC5,PPM1K
HERC5,OTUD4
HERC6,CCNI
HERC6,MANBA
HHIP,AFF1
HHIP,BMP3
HHIP,CDKL2
HHIP,IL15
HHIP,TSPAN5
HHIP,ARHGEF38
HHIP,CDS1
HHIP,ANXA3
HHIP,PKD2
HHIP,HHIP-AS1
HHIP,PTPN13
HHIP,NDNF
HHIP,AREG
HHIP,SLC39A8
HHIP,PAQR3
HHIP,PRKG2
HHIP,PLAC8
HHIP-AS1,PAQR3
HHIP-AS1,GTF2IP12
HHIP-AS1,CDS1
HHIP-AS1,CDKL2
HHIP-AS1,PPM1K
HHIP-AS1,SLC39A8
HHIP-AS1,ARHGEF38
HHIP-AS1,TSPAN5
HHIP-AS1,PTPN13
HNRNPD,MFSD8
HNRNPD,LAMTOR3
HNRNPD,UBE2D3
HNRNPD,ABHD18
HNRNPD,BLTP1
HNRNPD,SEPTIN11
HNRNPD,CCNI
HNRNPD,GPRIN3
HNRNPD,HNRNPDL
HNRNPD,PPM1K
HNRNPD,INTU
HNRNPDL,ANTXR2
HNRNPDL,PCDH18
HNRNPDL,ABCE1
HNRNPDL,SEC24B
HNRNPDL,BMP3
HPGDS,BMP2K
HSD17B11,HERC5
HSD17B11,BTC
HSD17B11,NUDT9
HSD17B11,FGF2
HSD17B11,HADH
HSD17B11,CCNI
HSD17B11,LARP1B
HSPA4L,MAPK10
HSPA4L,ADH1C
HSPA4L,NPNT
HSPA4L,CXCL1
HSPA4L,RASSF6
HSPA4L,BBS12
HSPA4L,BTC
INPP4B,ARHGEF38
INPP4B,SLC39A8
INPP4B,PPM1K
INPP4B,CDKL2
INPP4B,CAMK2D
INPP4B,C4orf3
INPP4B,SEPTIN11
INPP4B,UNC5C
INPP4B,PTPN13
INPP4B,RAB33B
INTS12,NPNT
JADE1,AREG
JADE1,FAM13A
JADE1,SMAD1
JADE1,METAP1
JADE1,ALPK1
JADE1,CDKL2
JADE1,USP53
JADE1,AFF1
JADE1,PGRMC2
JADE1,SPARCL1
JADE1,PCDH18
JADE1,OTUD4
JADE1,LARP1B
JADE1,ANKRD50
JADE1,MCUB
JADE1,PDE5A
JADE1,TRAM1L1
JADE1,ELMOD2
JADE1,INTU
JADE1,GPRIN3
JADE1,TET2
JADE1,LIN54
JADE1,LINC01094
JADE1,BMP3
JADE1,ARHGAP24
KLHL8,HNRNPDL
KLHL8,ANXA3
KLHL8,SCD5
LARP1B,ARHGAP24
LARP1B,ABCE1
LARP1B,MGST2
LARP1B,ANTXR2
LARP1B,HNRNPDL
LARP7,BMP3
LARP7,HNRNPD
LARP7,CDS1
LARP7,BLTP1
LARP7,HADH
LARP7,CCNI
LARP7,ANXA5
LARP7,ZGRF1
LARP7,PPM1K
LARP7,PARM1
LARP7,HNRNPDL
LEF1,CFI
LEF1,ARHGEF38
LEF1,SHROOM3
LEF1,HNRNPDL
LEF1,ANXA3
LEF1,UNC5C
LEF1,SPRY1
LEF1,NAA15
LEF1,STBD1
LEF1,AIMP1
LEF1,FAT4
LEF1,CXCL9
LEF1,SLC39A8
LEF1,SGMS2
LIN54,MGST2
LINC01088,PKD2
LINC01088,PDE5A
LINC01088,HHIP
LINC01088,FRAS1
LINC01088,INTU
LINC01088,SPARCL1
LINC01091,ADH1C
LINC01094,SHROOM3
LSM6,CXCL8
LSM6,GPRIN3
LSM6,PYURF
LSM6,H2AZ1
MAML3,MCUB
MAML3,NFKB1
MAML3,UNC5C
MANBA,FGF2
MANBA,LARP1B
MANBA,SEPTIN11
MANBA,ABCE1
MANBA,ANXA5
MANBA,CAMK2D
MANBA,LINC01094
MANBA,GPRIN3
MAPK10,ADH1C
MAPK10,WDFY3-AS2
MAPK10,FAM47E
MCUB,SPRY1
MCUB,NAAA
MCUB,IL15
MCUB,PYURF
MCUB,COX18
MCUB,HPSE
METAP1,USP53
METAP1,TSPAN5
METAP1,CAMK2D
METAP1,ADH1B
METTL14,CXCL10
MFSD8,DKK2
MFSD8,ABHD18
MFSD8,USO1
MFSD8,BLTP1
MFSD8,CCNI
MFSD8,ANXA5
MFSD8,INTU
MFSD8,GPRIN3
MFSD8,HNRNPDL
MTHFD2L,HNRNPDL
MTHFD2L,SHROOM3
NAA15,OTUD4
NAA15,WDFY3-AS2
NAA15,SEC24B
NAA15,NFKB1
NAA15,ABCE1
NAAA,PCDH18
NAAA,ARHGAP24
NAP1L5,NOCT
NAP1L5,GPAT3
NAP1L5,AREG
NAP1L5,EIF4E
NAP1L5,NAA15
NDNF,ANKRD50
NDNF,ANXA3
NDNF,ARSJ
NDNF,PRKG2
NDNF,SHROOM3
NDNF,PPM1K
NDUFC1,GPRIN3
NDUFC1,C4orf3
NFKB1,OTUD4
NFKB1,GPAT3
NFKB1,LINC01091
NFKB1,RASGEF1B
NFKB1,NUDT6
NFKB1,CXCL10
NPNT,CDS1
NPNT,ADH1C
NPNT,WDFY3-AS2
NPNT,IL15
NPNT,USP53
NUDT9,HHIP-AS1
NUDT9,G3BP2
NUDT9,DAPP1
NUP54,COQ2
NUP54,SEC31A
OSTC,CISD2
OTUD4,AFF1
PAPSS1,CDKL2
PAQR3,MGST2
PARM1,PTPN13
PARM1,SPATA5
