Gene_1,Gene_2
ABCG2,PKD2
ABCG2,SMAD1
ABCG2,GPRIN3
ABCG2,ANTXR2
ABHD18,H2AZ1
ABHD18,ANXA5
ABHD18,BMP2K
ABHD18,HNRNPDL
ABHD18,INTU
ABHD18,ANTXR2
ABHD18,PPM1K
ABRAXAS1,MCUB
ABRAXAS1,WDFY3-AS2
ADH1B,CAMK2D
ADH1B,ADH1C
ADH1B,ARHGAP24
ADH1B,OTUD4
ADH1B,ARSJ
ADH5,C4orf3
ADH5,INTU
ADH5,OTUD4
ADH5,SLC39A8
ADH5,ANXA3
ALPK1,ARHGEF38
ALPK1,OSTC
ALPK1,CYP2U1
ANK2,CFI
ANK2,TBC1D9
ANK2,SCOC
ANK2,ABCG2
ANK2,COQ2
ANK2,SPARCL1
ANK2,SYNPO2
ANK2,SLC39A8
ANK2,ANTXR2
ANK2,GPRIN3
ANK2,ANXA3
ANK2,UNC5C
ANK2,RNF150
ANK2,PKD2
ANK2,SGMS2
ANKRD17,GAR1
ANKRD17,ADH5
ANKRD17,FLJ20021
ANKRD17,SGMS2
ANKRD17,SNCA
ANKRD17,TET2
ANKRD50,AREG
ANKRD50,CDKL2
ANKRD50,PCDH18
ANTXR2,MGST2
ANXA3,SHROOM3
ANXA3,NPNT
ANXA3,PRKG2
ANXA3,HELQ
ANXA3,SLC39A8
ANXA5,PPM1K
AP1AR,TIFA
AP1AR,METAP1
AP1AR,GPRIN3
AP1AR,CYP2U1
AP1AR,CFI
AREG,ARHGEF38
AREG,SLC39A8
AREG,PPP3CA
AREG,CXCL8
AREG,MMRN1
AREG,LAMTOR3
AREG,INTU
AREG,RASGEF1B
AREG,NOCT
AREG,CDKL2
ARHGAP24,FAM47E
ARHGAP24,CXCL8
ARSJ,HNRNPDL
ARSJ,PRKG2
ARSJ,MMRN1
ARSJ,SHROOM3
BANK1,ARHGEF38
BANK1,SLC39A8
BANK1,MGST2
BANK1,PRKG2
BANK1,SEPTIN11
BANK1,UNC5C
BANK1,SMAD1
BBS12,CDS1
BBS12,GPRIN3
BBS12,SYNPO2
BBS12,OSTC
BBS12,WDFY3
BBS12,ABCG2
BBS12,NAP1L5
BBS7,MGST2
BDH2,HADH
BLTP1,LINC01094
BLTP1,CDS1
BLTP1,HNRNPDL
BLTP1,ANXA3
BLTP1,LARP1B
BMP2K,LINC01094
BMP2K,MRPL1
BMP3,IL15
BMP3,PPP3CA
BTC,CDS1
BTC,MAPK10
BTC,NPNT
BTC,HADH
BTC,NOCT
BTC,RNF150
BTC,PDE5A
BTC,SYNPO2
BTC,PRSS12
C4orf3,FAM13A
C4orf3,PCDH18
C4orf3,PYURF
C4orf3,CDKL2
C4orf36,RASGEF1B
CCNA2,H2AZ1
CCNA2,PLK4
CCNA2,ARHGEF38
CCNA2,MAD2L1
CCNA2,COQ2
CCNA2,RAP1GDS1
CCNA2,ZGRF1
CCNG2,PCDH18
CCNG2,SEC24B
CCNG2,PAQR3
CCNG2,MAML3
CCNG2,BBS7
CCNG2,UBE2D3
CCNG2,HNRNPD
CCNG2,NAP1L5
CCNG2,SGMS2
CCNI,WDFY3-AS2
CCSER1,SLC39A8
CCSER1,ANKRD50
CCSER1,SNHG8
CDKL2,USP53
CDKL2,ARHGEF38
CDS1,CDKL2
CDS1,NOCT
CDS1,PCDH18
CDS1,ARHGEF38
CDS1,FAM47E
CDS1,BMP3
CDS1,SEC24B
CFI,AFF1
CFI,GPAT3
CFI,MAML3
CFI,PDE5A
CFI,PTPN13
CFI,FAM241A
CISD2,LAMTOR3
CNOT6L,FAM13A
CNOT6L,PCDH18
COPS4,TMEM150C
COPS4,SCOC
COPS4,DKK2
COPS4,HSD17B11
COPS4,MCUB
COPS4,C4orf3
COPS4,AFF1
COPS4,MRPL1
COQ2,SGMS2
COQ2,MANBA
COQ2,CXCL1
COQ2,LARP1B
COQ2,GPRIN3
COQ2,LINC01094
CXCL1,SPRY1
CXCL1,AREG
CXCL1,SPP1
CXCL1,CXCL8
CXCL10,CXCL11
CXCL11,BMP2K
CXCL2,AREG
CXCL2,ADH1B
CXCL2,CXCL1
CXCL2,SMARCA5
CXCL2,KLHL8
CXCL3,NOCT
CXCL3,PCDH18
CXCL3,CXCL8
CXCL3,OTUD4
CXCL3,CXCL5
CXCL3,PARM1
CXCL3,CXCL2
CXCL3,CCNG2
CXCL8,NOCT
CXCL9,H2AZ1
CXCL9,CXCL10
CXCL9,NAAA
CXCL9,CXCL11
CXCL9,BMP2K
CXCL9,AIMP1
CYP2U1,C4orf3
CYP2U1,LIN54
CYP2U1,HNRNPDL
CYP2U1,WDFY3-AS2
CYP2U1,ANTXR2
CYP2U1,LARP1B
CYP2U1,PGRMC2
CYP2U1,ANKRD50
CYP2U1,CCNI
CYP2U1,ADH5
DAPP1,MANBA
DAPP1,ANXA3
DAPP1,AFF1
DAPP1,ALPK1
DAPP1,MCUB
DAPP1,PYURF
DAPP1,SHROOM3
DAPP1,CDS1
DAPP1,PLAC8
DAPP1,LINC01094
DAPP1,GPRIN3
DAPP1,FAM13A
DAPP1,ADH5
DAPP1,SLC39A8
DKK2,ANKRD50
DKK2,MMRN1
