Gene_1,Gene_2
ABCG2,MMRN1
ABCG2,ANTXR2
ABCG2,ANXA5
ABCG2,SMAD1
ABHD18,CYP2U1
ABHD18,USO1
ABHD18,ANXA5
ABHD18,HNRNPDL
ABRAXAS1,WDFY3-AS2
ABRAXAS1,SEPTIN11
ADH1B,USP53
ADH1B,ARSJ
ADH1B,ANKRD50
ADH1B,ADH1C
ADH1B,MMRN1
ADH1B,FAM13A
ADH1B,CAMK2D
ADH1C,CDS1
ADH5,INTU
ADH5,SHROOM3
ADH5,ANTXR2
ADH5,OTUD4
ALPK1,GTF2IP12
ALPK1,ANXA3
ALPK1,GPRIN3
ANAPC10,HNRNPDL
ANK2,SLC39A8
ANK2,UNC5C
ANKRD17,ARSJ
ANKRD17,PPA2
ANKRD50,CNOT6L
ANKRD50,AREG
ANKRD50,ARSJ
ANKRD50,PCDH18
ANXA3,NPNT
ANXA3,PRKG2
ANXA3,SLC39A8
ANXA5,THAP9
ANXA5,GPRIN3
AP1AR,KLHL8
AP1AR,AREG
AREG,CXCL8
AREG,PCDH18
AREG,ARHGEF38
AREG,CDKL2
AREG,OTUD4
AREG,LAMTOR3
AREG,LINC01094
AREG,LIN54
AREG,GPRIN3
ARSJ,FAM13A
BANK1,DAPP1
BANK1,PRKG2
BBS12,SLC39A8
BBS12,CDS1
BBS12,PTPN13
BLTP1,CDS1
BLTP1,ANXA5
BMP2K,HPSE
BMP3,PPM1K
BTC,SYNPO2
BTC,CDS1
BTC,HADH
BTC,NPNT
BTC,PDE5A
BTC,PRSS12
BTC,FRAS1
BTC,NDNF
C4orf3,PYURF
CAMK2D,WDFY3-AS2
CCNA2,H2AZ1
CCNA2,MAD2L1
CCNA2,PLK4
CCNG2,ABCE1
CCNG2,CAMK2D
CCNG2,MAML3
CCNG2,CFI
CCNI,AFF1
CCNI,HNRNPDL
CCNI,WDFY3-AS2
CCNI,NAAA
CDKL2,ARHGEF38
CDKL2,SLC39A8
CDS1,PCDH18
CDS1,IL15
CDS1,PYURF
CDS1,BMP3
CDS1,CDKL2
CDS1,SHROOM3
CDS1,FAM47E
CFI,ENOPH1
CFI,PRSS12
CFI,BDH2
CFI,PTPN13
CFI,ALPK1
CFI,SPRY1
CFI,OSTC
CFI,RASGEF1B
CFI,ZNF330
CISD2,PYURF
CNOT6L,PCDH18
COPS4,ZNF330
COPS4,DKK2
COPS4,PTPN13
COPS4,FAM13A
COPS4,ZGRF1
COPS4,GTF2IP12
COPS4,C4orf3
COPS4,BLTP1
COPS4,AFF1
COPS4,G3BP2
COPS4,ELF2
COPS4,ADH5
COPS4,CCNG2
COPS4,SCARB2
COPS4,HSD17B11
COPS4,THAP9-AS1
COQ2,MANBA
COQ2,LINC01094
COQ2,GPRIN3
COQ2,ANXA5
COQ2,HADH
COQ2,ALPK1
CXCL1,AREG
CXCL1,CXCL8
CXCL1,CDKL2
CXCL10,CXCL11
CXCL2,AREG
CXCL2,CXCL5
CXCL2,CXCL1
CXCL3,TRAM1L1
CXCL3,NOCT
CXCL3,CXCL8
CXCL3,CXCL2
CXCL3,AREG
CXCL3,CXCL5
CXCL5,GPRIN3
CXCL8,NOCT
CXCL9,IL15
CXCL9,NAAA
CXCL9,RNF150
CXCL9,BMP2K
CXCL9,ADH1B
CYP2U1,PLAC8
CYP2U1,ADH1B
DAPP1,GPRIN3
DAPP1,LINC01094
DAPP1,PYURF
DAPP1,SLC39A8
DKK2,CYP2U1
DKK2,ANKRD50
DNAJB14,LIN54
DNAJB14,NOCT
ELF2,NOCT
ELMOD2,ADH1B
ELMOD2,PPP3CA
ELMOD2,OSTC
EMCN,ANTXR2
EMCN,TMEM150C
EMCN,SCD5
EMCN,PRSS12
ENOPH1,SEPTIN11
ENOPH1,PTPN13
ENOPH1,LIN54
ENOPH1,PYURF
ENOPH1,CAMK2D
ENOPH1,SMAD1
FAM13A,USP53
FAM13A,SHROOM3
FAM13A,GPRIN3
FAM13A,CDKL2
FAM13A-AS1,INTU
FAM13A-AS1,CDS1
FAM13A-AS1,BLTP1
FAM13A-AS1,SEC31A
FAM13A-AS1,TET2
FAM13A-AS1,ZGRF1
FAM13A-AS1,ABHD18
FAM241A,SHROOM3
FAM241A,MMRN1
FAM241A,RNF150
FAM241A,SPRY1
FAM241A,NAA15
FAM241A,EMCN
FAM241A,SMAD1
FAM241A,UBE2D3
FAM241A,G3BP2
FAT4,BANK1
FAT4,UNC5C
FAT4,USO1
FAT4,GPRIN3
FGF2,EIF4E
FGF2,FAM13A
FGF2,HNRNPDL
FGF2,SHROOM3
FGF2,OTUD4
FGF2,ARSJ
FLJ20021,SPRY1
FRAS1,NPNT
FRAS1,MMRN1
FRAS1,CCNI
FRAS1,ANXA3
FRAS1,SEPTIN11
FRAS1,PTPN13
FRAS1,ANKRD50
FRAS1,HADH
FRAS1,MAML3
G3BP2,LIN54
G3BP2,PKD2
G3BP2,RASGEF1B
G3BP2,DKK2
GAB1,FAT4
GAB1,RAB33B
GAB1,ANXA5
GAB1,ANXA3
GAB1,SLC39A8
GAB1,HSPA4L
GAR1,SEC24B
GAR1,ELF2
GAR1,HNRNPD
GPRIN3,SHROOM3
GPRIN3,COX18
GPRIN3,LINC01094
GTF2IP12,ANXA5
GYPE,AREG
GYPE,SCD5
GYPE,SMAD1
GYPE,PYURF
GYPE,PRKG2
GYPE,ANXA3
HADH,CDS1
HADH,NAAA
HERC5,PPM1K
HERC5,LSM6
HERC5,HADH
HERC5,H2AZ1
HERC5,ELOVL6
HERC5,MANBA
HERC5,HERC6
HERC5,SMAD1
HERC5,CCNI
HERC6,CCNI
HHIP,SLC39A8
HHIP,CDKL2
HHIP,BMP3
HHIP,CDS1
HHIP,HHIP-AS1
HHIP,SGMS2
HHIP-AS1,SLC39A8
HHIP-AS1,PAQR3
HHIP-AS1,PTPN13
HHIP-AS1,AREG
HHIP-AS1,CDS1
HHIP-AS1,CDKL2
HHIP-AS1,FAM13A
HNRNPD,HNRNPDL
HNRNPD,CCNI
HNRNPD,UBE2D3
HNRNPD,ANXA5
HNRNPD,INTU
HNRNPDL,PCDH18
HNRNPDL,ANTXR2
HPGDS,BMP2K
HSD17B11,LARP1B
HSD17B11,NUDT9
HSD17B11,FAM47E
HSD17B11,CXCL2
HSD17B11,RASSF6
HSPA4L,NPNT
HSPA4L,CDKL2
INPP4B,PTPN13
INPP4B,CAMK2D
INPP4B,BMP3
INPP4B,CDKL2
INPP4B,UNC5C
INTS12,NPNT
JADE1,NDNF
JADE1,TET2
JADE1,METAP1
JADE1,TRAM1L1
JADE1,CDKL2
JADE1,AREG
JADE1,FAM13A
JADE1,BMP3
JADE1,USP53
JADE1,AFF1
JADE1,PGRMC2
JADE1,PCDH18
JADE1,ANKRD50
LARP1B,ABCE1
LARP1B,ANXA5
LARP7,CDS1
LARP7,HNRNPDL
LARP7,CCNI
LARP7,HADH
LARP7,HNRNPD
LEF1,CXCL9
LIN54,MGST2
LIN54,PGRMC2
LINC01088,PKD2
LINC01088,HHIP
LINC01088,FRAS1
LINC01088,GPAT3
LINC01088,PDE5A
LINC01088,SPARCL1
LINC01091,ADH1C
LINC01094,PLAC8
LINC01094,SHROOM3
LSM6,SPP1
MAML3,UNC5C
MAML3,MCUB
MANBA,ANXA5
MANBA,GPRIN3
MANBA,CAMK2D
MAPK10,ADH1C
MAPK10,FAM47E
MCUB,NAAA
MCUB,PYURF
MCUB,HPSE
MCUB,SPRY1
MCUB,COX18
METAP1,CAMK2D
METAP1,TSPAN5
METAP1,SEC24B
METTL14,SHROOM3
MFSD8,USO1
MFSD8,ANXA5
MFSD8,INTU
MTHFD2L,HNRNPDL
MTHFD2L,SGMS2
NAA15,C4orf3
NAA15,SEC24B
NAA15,ABCE1
NAA15,NFKB1
NAAA,ARHGAP24
NAAA,PCDH18
NAP1L5,SPRY1
NAP1L5,ALPK1
NAP1L5,NAA15
NAP1L5,GPAT3
NAP1L5,PCDH18
NAP1L5,NOCT
NAP1L5,AREG
NDNF,ANXA3
NDNF,MAPK10
NDNF,PRKG2
NDNF,SHROOM3
NDNF,ANKRD50
NDUFC1,EIF4E
NFKB1,OTUD4
NFKB1,SHROOM3
NPNT,WDFY3-AS2
NPNT,USP53
NUDT9,HHIP-AS1
NUDT9,DAPP1
NUP54,SEC31A
OSTC,CISD2
OSTC,PYURF
OTUD4,AFF1
PAPSS1,SHROOM3
PAPSS1,CDKL2
PARM1,ADH1C
PARM1,NPNT
