Gene_1,Gene_2
ABCG2,PKD2
ABCG2,GPRIN3
ABHD18,INTU
ABHD18,H2AZ1
ABHD18,ANXA5
ABHD18,BMP2K
ABHD18,HNRNPDL
ABHD18,PPM1K
ABHD18,ANTXR2
ABRAXAS1,MCUB
ABRAXAS1,WDFY3-AS2
ABRAXAS1,FRAS1
ADH1B,CAMK2D
ADH1B,ADH1C
ADH1B,ARSJ
ADH5,ANXA3
ADH5,C4orf3
ADH5,INTU
ADH5,SHROOM3
ADH5,OTUD4
ADH5,SLC39A8
ALPK1,ARHGEF38
ALPK1,RAB33B
ALPK1,CYP2U1
ALPK1,OSTC
ANAPC10,RNF150
ANK2,SPARCL1
ANK2,SYNPO2
ANK2,ABCG2
ANK2,CFI
ANK2,SGMS2
ANK2,PKD2
ANK2,RNF150
ANK2,UNC5C
ANK2,ANTXR2
ANK2,SLC39A8
ANK2,SCOC
ANK2,TBC1D9
ANK2,ANXA3
ANK2,COQ2
ANKRD17,FLJ20021
ANKRD17,ADH5
ANKRD17,GAR1
ANKRD17,SGMS2
ANKRD17,SNCA
ANKRD50,CDKL2
ANKRD50,CNOT6L
ANKRD50,AREG
ANKRD50,PCDH18
ANTXR2,MGST2
ANXA3,SLC39A8
ANXA3,SHROOM3
ANXA3,HELQ
ANXA3,PRKG2
ANXA3,NPNT
ANXA5,PPM1K
AP1AR,TIFA
AP1AR,GPRIN3
AP1AR,CFI
AREG,PPP3CA
AREG,NOCT
AREG,ARHGEF38
AREG,CXCL8
AREG,SLC39A8
AREG,CDKL2
AREG,INTU
AREG,LAMTOR3
AREG,RASGEF1B
AREG,MMRN1
ARHGAP24,CXCL8
ARHGAP24,FAM47E
ARSJ,MMRN1
ARSJ,SHROOM3
ARSJ,HNRNPDL
ARSJ,PRKG2
BANK1,SEPTIN11
BANK1,SMAD1
BANK1,ARHGEF38
BANK1,SLC39A8
BANK1,MGST2
BANK1,PRKG2
BANK1,UNC5C
BBS12,ABCG2
BBS12,NAP1L5
BBS12,SYNPO2
BBS12,OSTC
BBS12,SEPTIN11
BBS12,CDS1
BBS7,MGST2
BDH2,FRAS1
BDH2,HADH
BLTP1,LINC01094
BLTP1,LARP1B
BLTP1,HNRNPDL
BLTP1,ANXA3
BLTP1,CDS1
BMP2K,MRPL1
BMP2K,LINC01094
BMP3,IL15
BMP3,PPP3CA
BTC,PDE5A
BTC,RNF150
BTC,SYNPO2
BTC,HADH
BTC,MAPK10
BTC,CDS1
BTC,NOCT
BTC,PRSS12
C4orf3,PYURF
C4orf3,PCDH18
C4orf3,CDKL2
C4orf3,FAM13A
C4orf36,RASGEF1B
C4orf36,CXCL11
CCNA2,ZGRF1
CCNA2,RAP1GDS1
CCNA2,H2AZ1
CCNA2,MAD2L1
CCNA2,COQ2
CCNA2,PLK4
CCNA2,ARHGEF38
CCNG2,UBE2D3
CCNG2,HNRNPD
CCNG2,SGMS2
CCNG2,NAP1L5
CCNG2,MAML3
CCNG2,USO1
CCNG2,PAQR3
CCNG2,PCDH18
CCNG2,BBS7
CCNI,WDFY3-AS2
CCSER1,SNHG8
CCSER1,ANKRD50
CCSER1,SLC39A8
CDKL2,ARHGEF38
CDKL2,USP53
CDS1,CDKL2
CDS1,FAM47E
CDS1,PCDH18
CDS1,NOCT
CDS1,BMP3
CFI,AFF1
CFI,GPAT3
CFI,MAML3
CFI,PDE5A
CFI,PTPN13
CFI,FAM241A
CISD2,LAMTOR3
CNOT6L,PCDH18
CNOT6L,FAM13A
COPS4,HSD17B11
COPS4,SCOC
COPS4,AFF1
COPS4,C4orf3
COPS4,MCUB
COPS4,MRPL1
COPS4,DKK2
COPS4,TMEM150C
COQ2,LINC01094
COQ2,GPRIN3
COQ2,LARP1B
COQ2,CXCL1
COQ2,MANBA
COQ2,SGMS2
CXCL1,SPP1
CXCL1,SPRY1
CXCL1,AREG
CXCL1,CXCL8
CXCL10,CXCL11
CXCL11,BMP2K
CXCL2,SMARCA5
CXCL2,ADH1B
CXCL2,CXCL1
CXCL2,KLHL8
CXCL2,AREG
CXCL3,NAP1L5
CXCL3,CXCL2
CXCL3,CXCL5
CXCL3,WDFY3-AS2
CXCL3,OTUD4
CXCL3,CXCL8
CXCL3,NOCT
CXCL3,PCDH18
CXCL8,NOCT
CXCL9,AIMP1
CXCL9,CXCL11
CXCL9,BMP2K
CXCL9,NAAA
CXCL9,PPM1K
CXCL9,H2AZ1
CXCL9,CXCL10
CYP2U1,PGRMC2
CYP2U1,ANTXR2
CYP2U1,WDFY3-AS2
CYP2U1,HNRNPDL
CYP2U1,LIN54
CYP2U1,CCNI
CYP2U1,C4orf3
CYP2U1,LARP1B
CYP2U1,ANKRD50
CYP2U1,ADH5
DAPP1,ALPK1
DAPP1,SLC39A8
DAPP1,AFF1
DAPP1,PYURF
DAPP1,SHROOM3
DAPP1,CDS1
DAPP1,LINC01094
DAPP1,GPRIN3
DAPP1,ANXA3
DAPP1,ADH5
DAPP1,MCUB
DAPP1,MANBA
DAPP1,PLAC8
DAPP1,FAM13A
DKK2,ANKRD50
DKK2,HNRNPDL
DKK2,MMRN1
DNAJB14,LINC02615
DNAJB14,ELF2
DNAJB14,NDNF
DNAJB14,ANKRD50
DNAJB14,SEPTIN7P14
DNAJB14,NPNT
DNAJB14,GPRIN3
DNAJB14,COX18
DNAJB14,SLC39A8
DNAJB14,LIN54
EIF4E,LAMTOR3
EIF4E,H2AZ1
EIF4E,NFKB1
ELF2,MAPK10
ELF2,OTUD4
ELF2,LAMTOR3
ELMOD2,CCNI
ELMOD2,PAQR3
ELMOD2,SMARCAD1
ELMOD2,DNAJB14
ELOVL6,FGF2
EMCN,CCNI
EMCN,ARHGAP24
EMCN,PCDH18
EMCN,C4orf3
EMCN,SEPTIN11
ENOPH1,C4orf3
ENOPH1,ANXA3
ENOPH1,SEPTIN11
ENOPH1,DNAJB14
ENOPH1,CCNI
ENOPH1,COX18
ENPEP,CISD2
EXOSC9,NDUFC1
EXOSC9,ANKRD50
EXOSC9,HNRNPDL
EXOSC9,C4orf3
FAM13A,CDKL2
FAM13A,ARHGEF38
FAM13A,CDS1
FAM13A,LINC01094
FAM13A,RAB33B
FAM13A,GPRIN3
FAM13A-AS1,BLTP1
FAM13A-AS1,ANXA3
FAM13A-AS1,HADH
FAM13A-AS1,PRKG2
FAM13A-AS1,INTU
FAM13A-AS1,LINC02615
FAM13A-AS1,THAP9-AS1
FAM13A-AS1,ENOPH1
FAM13A-AS1,DNAJB14
FAM13A-AS1,HNRNPDL
FAM13A-AS1,ZGRF1
FAM241A,SHROOM3
FAM241A,SMAD1
FAM241A,HHIP-AS1
FAM241A,SPRY1
FAM241A,RNF150
FAM241A,MMRN1
FAM241A,PPP3CA
FAM241A,G3BP2
FAT4,MRPL1
FAT4,ARSJ
FAT4,HADH
FAT4,NDNF
FAT4,UNC5C
FAT4,GPRIN3
FAT4,BTC
FAT4,OSTC
FAT4,USO1
FGF2,SPRY1
FGF2,ADH1B
FGF2,CNOT6L
FGF2,C4orf3
FGF2,CDS1
FGF2,SHROOM3
FGF2,GPAT3
FGF2,ARHGAP24
FGF2,SLC39A8
FGF2,EIF4E
FLJ20021,FRAS1
FRAS1,SEPTIN11
FRAS1,MAML3
FRAS1,CCNI
FRAS1,ARSJ
G3BP2,AFF1
G3BP2,GPRIN3
G3BP2,ANKRD50
G3BP2,FRAS1
G3BP2,SDAD1
GAB1,COQ2
GAB1,HPGDS
GAB1,EIF4E
GAB1,ANXA3
GAB1,CAMK2D
GAB1,SPP1
GAB1,ARHGAP24
GAB1,SLC39A8
GAR1,ELF2
GAR1,NDUFC1
GPRIN3,RAB33B
GPRIN3,LINC01094
GPRIN3,SHROOM3
GPRIN3,GPAT3
GSTCD,DAPP1
GSTCD,MAML3
GYPE,PRKG2
GYPE,ADH5
GYPE,SMARCA5
H2AZ1,SLC10A7
HADH,OTUD4
HADH,CDS1
HADH,BMP2K
HADH,HNRNPDL
HERC5,HADH
HERC5,CCNI
HERC5,H2AZ1
HERC5,ABHD18
HERC5,MANBA
HERC5,PPM1K
HERC5,ZGRF1
HERC5,DAPP1
HERC5,GPRIN3
HERC5,HERC6
HHIP,EMCN
HHIP,PTPN13
HHIP,FGF2
HHIP,NDNF
HHIP,SLC39A8
HHIP,CDS1
HHIP,C4orf3
HHIP,ANXA3
HHIP,AREG
HHIP,HERC6
HHIP,HHIP-AS1
HHIP,FLJ20021
HHIP,PKD2
HHIP-AS1,SLC39A8
HHIP-AS1,PTPN13
HHIP-AS1,ADH5
HHIP-AS1,PAQR3
HHIP-AS1,CDS1
HHIP-AS1,CDKL2
HHIP-AS1,ARHGEF38
HNRNPD,HNRNPDL
HNRNPD,CCNI
HNRNPDL,ANTXR2
HPGDS,BMP2K
HPGDS,EMCN
HSD17B11,HADH
HSD17B11,SMARCA5
HSD17B11,SCD5
HSD17B11,LAMTOR3
HSD17B11,LARP1B
HSD17B11,KLHL8
HSD17B11,TNIP3
HSD17B11,CCNG2
HSPA4L,INTU
HSPA4L,PRSS12
HSPA4L,ARHGEF38
HSPA4L,DNAJB14
HSPA4L,CDS1
HSPA4L,NDNF
INPP4B,CDKL2
INPP4B,ARHGAP24
INPP4B,GPAT3
INPP4B,CCNI
INPP4B,ANXA3
INPP4B,DKK2
INPP4B,FRAS1
INPP4B,UNC5C
INTS12,NAA15
INTS12,G3BP2
INTS12,ABRAXAS1
INTS12,RCHY1
INTU,OTUD4
JADE1,SMARCA5
JADE1,GSTCD
JADE1,ANKRD50
JADE1,CNOT6L
JADE1,AREG
JADE1,CISD2
JADE1,GPRIN3
JADE1,LIN54
JADE1,AFF1
JADE1,SMAD1
JADE1,G3BP2
JADE1,ZNF827
JADE1,TET2
KLHL8,SMARCA5
KLHL8,PCDH18
KLHL8,BLTP1
KLHL8,CAMK2D
KLHL8,CDS1
LARP1B,HNRNPDL
LARP1B,BMP3
LARP1B,GPRIN3
LARP1B,AREG
LARP1B,LINC01094
LARP7,C4orf3
LARP7,BLTP1
LARP7,LSM6
LARP7,SEC24D
LARP7,CDS1
LEF1,HADH
LEF1,CNOT6L
LEF1,FAM13A
LIN54,MGST2
LIN54,PCDH18
LINC01088,FRAS1
LINC01088,ADH1B
LINC01088,GPAT3
LINC01088,WDFY3
LINC01088,G3BP2
LINC01088,HHIP-AS1
LINC01091,SLC39A8
LINC01094,SHROOM3
MAD2L1,PLK4
MAD2L1,TMEM150C
MAD2L1,BLTP1
MAML3,WDFY3-AS2
MAML3,UNC5C
MAML3,INTU
MANBA,LINC01094
MANBA,GPRIN3
MANBA,USO1
MANBA,CXCL1
MANBA,ANXA5
MAPK10,PPP3CA
MAPK10,CDS1
MCUB,NAAA
MCUB,SHROOM3
MCUB,CDS1
MCUB,ANKRD50
METAP1,SGMS2
METAP1,CAMK2D
MFSD8,DNAJB14
MFSD8,ABHD18
MFSD8,INTU
MFSD8,ANXA5
MFSD8,SEPTIN7P14
MFSD8,HNRNPDL
MMAA,DKK2
MTHFD2L,HNRNPDL
MTHFD2L,INTU
MTHFD2L,CDS1
MTHFD2L,AIMP1
MTHFD2L,SDAD1
NAA15,ANXA5
NAA15,SEC24B
NAA15,MGST2
NAA15,ABCE1
NAP1L5,PCDH18
NAP1L5,ELF2
NAP1L5,CNOT6L
NAP1L5,NOCT
NAP1L5,AREG
NAP1L5,CXCL8
NAP1L5,GPAT3
NAP1L5,ARHGEF38
NDNF,PAQR3
NDNF,NPNT
NDNF,LIN54
NDNF,PRKG2
NDNF,ANKRD50
NDNF,ARSJ
NDUFC1,DAPP1
NDUFC1,ALPK1
NDUFC1,PPP3CA
NDUFC1,BLTP1
NDUFC1,C4orf3
NDUFC1,INTU
NDUFC1,ZGRF1
NFKB1,ABCE1
NFKB1,OTUD4
NFKB1,PAQR3
NFKB1,BMP3
NFKB1,RASGEF1B
NPNT,USP53
NUDT9,SLC39A8
NUDT9,DAPP1
NUDT9,SMARCA5
NUP54,MTHFD2L
NUP54,THAP9-AS1
OSTC,ARHGEF38
OSTC,PPM1K
OSTC,CDS1
PAPSS1,PLAC8
PAPSS1,PTPN13
PARM1,MAPK10
PARM1,CDS1
PARM1,CDKL2
PARM1,BLTP1
PARM1,NFKB1
PARM1,MAML3
PARM1,PTPN13
PARM1,INPP4B
PARM1,SMARCAD1
PARM1,ANXA3
PDE5A,PPM1K
PDE5A,PGRMC2
PDE5A,AFF1
PDE5A,AREG
PDE5A,LARP1B
PDE5A,ADH1B
PDE5A,G3BP2
PDE5A,SEPTIN11
PDE5A,GTF2IP12
PDE5A,FRAS1
PDE5A,INPP4B
PDE5A,WDFY3-AS2
PDE5A,FLJ20021
PDE5A,DNAJB14
PDE5A,PKD2
PDE5A,NUDT9
PDLIM5,INPP4B
PDLIM5,LARP1B
PDLIM5,SYNPO2
PDLIM5,PKD2
PDLIM5,SETD7
PDLIM5,THAP9
PDLIM5,NPNT
PF4,CXCL5
PKD2,EIF4E
PKD2,BMP3
PKD2,RAB33B
PKD2,SEPTIN11
PKD2,AREG
PKD2,BLTP1
PKD2,ADH1B
PKD2,TIGD2
PKD2,FGF2
PKD2,AFF1
PLA2G12A,PARM1
PLA2G12A,ENOPH1
PLA2G12A,KLHL8
PLAC8,CDS1
PLAC8,OTUD4
PPA2,OTUD4
PPA2,G3BP2
PPA2,COX18
PPA2,KLHL8
PPBP,CXCL5
PPBP,PF4
PPBP,MAML3
PRDM5,NDNF
PRDM5,INTU
PRDM5,EMCN
PRDM5,ZGRF1
PRDM5,ABRAXAS1
PRSS12,SCD5
PRSS12,MCUB
PRSS12,FAM47E
PRSS12,CDS1
PRSS12,FAM13A
PRSS12,ADH5
PTPN13,BLTP1
PTPN13,RASGEF1B
PTPN13,CDKL2
PTPN13,FAM47E
PTPN13,PPP3CA
PTPN13,BMP3
PTPN13,CDS1
PTPN13,C4orf3
PTPN13,CAMK2D
PTPN13,USO1
PTPN13,ARHGEF38
PTPN13,GTF2IP12
PYURF,PPP3CA
RAB33B,GPAT3
RAB33B-AS1,TSPAN5
RAB33B-AS1,CDS1
RAB33B-AS1,GPAT3
RAP1GDS1,SEC24D
RAP1GDS1,GPRIN3
RAP1GDS1,PDLIM5
RAP1GDS1,TMEM150C
RAP1GDS1,ANXA3
RAP1GDS1,NFKB1
RASGEF1B,HPSE
RASGEF1B,ABCE1
RASGEF1B,CXCL11
RASGEF1B,NOCT
RASSF6,NPNT
RASSF6,CXCL8
RASSF6,CDS1
RASSF6,MANBA
RASSF6,DNAJB14
RASSF6,SLC39A8
RASSF6,GPRIN3
RASSF6,NDNF
RNF150,MAML3
