Gene_1,Gene_2
ABCG2,PKD2
ABCG2,SMAD1
ABCG2,SEC24D
ABCG2,GPRIN3
ABCG2,ANTXR2
ABHD18,H2AZ1
ABHD18,PPM1K
ABHD18,ANTXR2
ABHD18,INTU
ABHD18,HNRNPDL
ABHD18,BMP2K
ABHD18,ANXA5
ABHD18,HADH
ABHD18,ADH5
ABRAXAS1,MCUB
ABRAXAS1,WDFY3-AS2
ADH1B,ADH5
ADH1B,OTUD4
ADH1B,ARHGAP24
ADH1B,ADH1C
ADH1B,CAMK2D
ADH1B,ARSJ
ADH1B,FAM13A
ADH1C,USP53
ADH1C,CDS1
ADH5,INTU
ADH5,OTUD4
ADH5,SLC39A8
ADH5,ANXA3
ADH5,C4orf3
AIMP1,ABCE1
ALPK1,CYP2U1
ALPK1,OSTC
ALPK1,SEC24B
ALPK1,ARHGEF38
ANK2,COQ2
ANK2,TBC1D9
ANK2,SCOC
ANK2,ABCG2
ANK2,SPARCL1
ANK2,UNC5C
ANK2,SEC24D
ANK2,ADH5
ANK2,ANXA3
ANK2,CDS1
ANK2,ANTXR2
ANK2,SLC39A8
ANK2,RNF150
ANK2,SYNPO2
ANK2,CFI
ANK2,PKD2
ANK2,SGMS2
ANKRD17,FRAS1
ANKRD17,SNCA
ANKRD17,ADH5
ANKRD17,GAR1
ANKRD17,TET2
ANKRD17,FLJ20021
ANKRD50,HADH
ANKRD50,CDKL2
ANKRD50,LIN54
ANKRD50,AREG
ANKRD50,CNOT6L
ANKRD50,PCDH18
ANTXR2,MGST2
ANXA3,NPNT
ANXA3,SLC39A8
ANXA3,SHROOM3
ANXA3,HELQ
ANXA3,PRKG2
ANXA5,FAM47E
ANXA5,PPM1K
ANXA5,LAMTOR3
AP1AR,TIFA
AP1AR,CFI
AP1AR,CYP2U1
AP1AR,GPRIN3
AP1AR,C4orf33
AREG,ARHGEF38
AREG,PCDH18
AREG,RASGEF1B
AREG,INTU
AREG,NOCT
AREG,ARHGAP24
AREG,LAMTOR3
AREG,PPP3CA
AREG,SHROOM3
AREG,CDKL2
AREG,USP53
AREG,CXCL8
ARHGAP24,CXCL8
ARSJ,PRKG2
ARSJ,HNRNPDL
ARSJ,SHROOM3
BANK1,SLC39A8
BANK1,SMAD1
BANK1,SEPTIN11
BANK1,PLK4
BANK1,MGST2
BANK1,UNC5C
BANK1,PRKG2
BANK1,ARHGEF38
BBS12,SEC24B
BBS12,NAP1L5
BBS12,CDS1
BBS12,ABCG2
BBS12,WDFY3
BBS12,SYNPO2
BBS12,ABHD18
BBS12,SEPTIN11
BBS12,GPRIN3
BBS12,MAPK10
BBS12,PLAC8
BBS12,NOCT
BBS12,FAM47E
BBS12,OTUD4
BDH2,HADH
BLTP1,ANXA3
BLTP1,INTU
BLTP1,BMP3
BLTP1,CDS1
BLTP1,PLAC8
BLTP1,HNRNPDL
BLTP1,LINC01094
BLTP1,LARP1B
BMP2K,LINC01094
BMP2K,SHROOM3
BMP2K,MRPL1
BMP2K,HPSE
BMP3,PPP3CA
BMP3,IL15
BTC,NOCT
BTC,FAM47E
BTC,CDS1
BTC,HADH
BTC,MAPK10
BTC,NPNT
BTC,SCD5
BTC,PRSS12
BTC,RNF150
BTC,PDE5A
BTC,SYNPO2
BTC,HERC6
C4orf3,FAM13A
C4orf3,RAB33B
C4orf3,NPNT
C4orf3,CDKL2
C4orf3,PCDH18
C4orf3,PYURF
C4orf36,RASGEF1B
CCNA2,SDAD1
CCNA2,ARHGEF38
CCNA2,PLK4
CCNA2,H2AZ1
CCNA2,MAD2L1
CCNA2,RAP1GDS1
CCNA2,COQ2
CCNG2,UBE2D3
CCNG2,AREG
CCNG2,PAQR3
CCNG2,SEC24B
CCNG2,PCDH18
CCNG2,HNRNPD
CCNG2,MAML3
CCNG2,NAP1L5
CCNG2,SGMS2
CCNI,WDFY3-AS2
CCNI,HNRNPDL
CCSER1,SLC39A8
CCSER1,SNHG8
CCSER1,ANKRD50
CDKL2,USP53
CDKL2,ARHGEF38
CDS1,FAM47E
CDS1,CDKL2
CDS1,PYURF
CDS1,ARHGEF38
CDS1,SEC24B
CDS1,BMP3
CDS1,SHROOM3
CDS1,NOCT
CDS1,PCDH18
CFI,PTPN13
CFI,FAM241A
CFI,SEC24D
CFI,PRSS12
CFI,PDE5A
CFI,NPNT
CFI,MAML3
CFI,GPAT3
CISD2,LAMTOR3
CNOT6L,FAM13A
CNOT6L,SLC10A7
CNOT6L,PCDH18
CNOT6L,AFF1
CNOT6L,CDKL2
COPS4,MCUB
COPS4,HSD17B11
COPS4,SCOC
COPS4,DKK2
COPS4,TMEM150C
COPS4,C4orf3
COPS4,PYURF
COPS4,AFF1
COPS4,MRPL1
COPS4,PAQR3
COQ2,LINC01094
COQ2,SGMS2
COQ2,MANBA
COQ2,GPRIN3
COQ2,CXCL1
COQ2,LARP1B
CXCL1,SPRY1
CXCL1,NFKB1
CXCL1,CXCL8
CXCL1,AREG
CXCL10,CXCL11
CXCL2,PCDH18
CXCL2,AREG
CXCL2,PARM1
CXCL2,SMARCA5
CXCL2,KLHL8
CXCL3,JADE1
CXCL3,CCNG2
CXCL3,NAP1L5
