protein1,protein2
CFTR,SEC24B
RALA,MAPK10
CACNG3,CAMK2D
CD4,ENPEP
CD4,SCD5
MRI1,ENOPH1
PSMA4,NFKB1
PSMA4,HNRNPD
MRPS10,MRPL1
MRPS10,MRPS18C
RFC2,RCHY1
MRPS35,MRPS18C
PSMC4,HNRNPD
PSMC4,EIF4E
PSMC4,NFKB1
TNFRSF1A,NFKB1
GOLGA5,RAB33B
BCL3,NFKB1
TRIP13,CCNA2
TRIP13,MAD2L1
KEAP1,KLHL8
NGFR,MAPK10
NGFR,CASP6
NTN1,UNC5C
PTPN18,PTPN13
MRPS34,MRPS18C
NDUFB4,NDUFC1
OXCT1,BDH2
MRPL28,MRPS18C
MRPL28,MRPL1
PPP1R15A,SMAD1
ESF1,SDAD1
LAG3,SNCA
EFNB1,PTPN13
DLD,PPM1K
OSGEP,EMCN
ADH1A,ADH1B
CDC6,LIN54
CDC6,ANAPC10
CDC6,CCNA2
KLHL20,KLHL8
PSMD5,NFKB1
VCL,ANXA5
SIRT1,NFKB1
SIRT1,SETD7
PSMD8,NFKB1
PSMD8,HNRNPD
NDUFB7,NDUFC1
TECR,ELOVL6
CDC34,UBE2D3
CDC34,NFKB1
LZTR1,KLHL8
OSM,FGF2
SF3A1,LSM6
USP18,HERC5
SNRPD3,LSM6
SNRPD3,NUP54
MAPK1,FGF2
MAPK1,LAMTOR3
MAPK1,GAB1
MAPK1,NFKB1
MAPK1,SMAD1
PLA2G3,PLA2G12A
XBP1,SEC31A
HMGXB4,SMARCA5
MCM5,CCNA2
MCM5,MAD2L1
EIF3D,ABCE1
ST13,HSPA4L
IL2RB,IL15
RBX1,UBE2D3
RBX1,KLHL8
RBX1,COPS4
PHF5A,LSM6
CERK,SGMS2
PIGH,PYURF
PSMA3,NFKB1
PSMA3,HNRNPD
GSTZ1,HPGDS
EIF5,ABCE1
MTHFD1,MTHFD2L
NFKBIA,NFKB1
PSME2,HNRNPD
PSME2,NFKB1
AURKA,CCNA2
AURKA,MAD2L1
PROCR,PF4
MYBL2,CCNA2
MYBL2,LIN54
CSNK2A1,SNCA
PSMD10,HNRNPD
PSMD10,NFKB1
TIMP1,FGF2
ATP12A,PPA2
MMP2,FGF2
ORC6,CCNA2
NUTF2,NUP54
CCL22,CXCL10
CCL22,CXCL8
CCL22,CXCL1
CCL22,CXCL2
POLR2C,METTL14
PSMD7,HNRNPD
PSMD7,NFKB1
SETD6,NFKB1
SMPD3,SGMS2
TSC2,LAMTOR3
STUB1,SNCA
STUB1,UBE2D3
CDIPT,CDS1
CSK,AREG
CSK,GAB1
CSK,BTC
MTFMT,MTHFD2L
OIP5,CCNA2
AGO2,EIF4E
AGO2,HNRNPD
PAG1,GAB1
DKK4,DKK2
EIF3E,ABCE1
CHRAC1,SMARCA5
GSR,HPGDS
PPP2CB,PPP3CA
EXOSC5,EXOSC9
CYP4F3,CYP2U1
HNRNPL,HNRNPD
HNRNPL,HNRNPDL
RELB,NFKB1
SF3A2,LSM6
AMH,SMAD1
AES,LEF1
CYP4F2,CYP2U1
FBL,ABCE1
FBL,SDAD1
FBL,GAR1
POLR2I,METTL14
TGFB1,SMAD1
TGFB1,FGF2
CD79A,CXCL9
CD79A,DAPP1
EPOR,GAB1
RPL18A,RPL34
RPL18A,MRPL1
PIK3R2,INPP4B
RAB3A,SNCA
ABCF2,ABCE1
HGF,FGF2
HGF,GAB1
UBE2D4,UBE2D3
BET1,AREG
BET1,SEC24D
BET1,SEC24B
BET1,USO1
MPP6,EXOSC9
WASL,GAB1
AIMP2,AIMP1
RBM28,SDAD1
RPA3,RCHY1
PSMA2,HNRNPD
PSMA2,NFKB1
MRPL32,MRPS18C
MRPL32,MRPL1
YKT6,USO1
YKT6,RAB33B
SETX,EXOSC9
CYP26A1,ADH1B
CYP26A1,ADH1C
CYP26A1,ADH5
RPL19,RPL34
CSF3,CXCL8
CSF3,CXCL10
CSF3,CXCL1
CSF3,CXCL2
GOSR2,SEC24D
GOSR2,SEC24B
GOSR2,USO1
RPS6KB1,EIF4E
RPS6KB1,LAMTOR3
GOSR1,RAB33B
CCL2,CXCL9
CCL2,CXCL8
CCL2,CXCL2
CCL2,CXCL1
CCL2,CXCL10
MRPL27,MRPL1
MRPL27,MRPS18C
HDAC5,CAMK2D
IBSP,SPP1
JADE1,KAT7
JADE1,MEAF6
JADE1,ING4
JADE1,VHL
JADE1,ING5
PF4V1,CXCL10
PF4V1,CXCL11
PF4V1,CXCL9
NFKB1,HDAC1
NFKB1,PSMD3
NFKB1,CHUK
NFKB1,S100A12
NFKB1,PSMC4
NFKB1,PSMA5
NFKB1,PSMB9
NFKB1,PSMD9
NFKB1,TLR2
NFKB1,BTRC
NFKB1,PSME2
NFKB1,NFKBIB
NFKB1,POU2F2
NFKB1,PSMD14
NFKB1,IKBKG
NFKB1,SIRT1
NFKB1,LYN
NFKB1,HMGB1
NFKB1,PSMC5
NFKB1,ITGAM
NFKB1,SYK
NFKB1,NFKBIA
NFKB1,MAPK14
NFKB1,IL23A
NFKB1,PSMB11
NFKB1,PSMB7
NFKB1,PSME1
NFKB1,PSMA7
NFKB1,TXN
NFKB1,IL23R
NFKB1,RELB
NFKB1,BCL2A1
NFKB1,MAPK1
NFKB1,PSMC1
NFKB1,NGF
NFKB1,PSMD8
NFKB1,PSME4
NFKB1,PSMD5
NFKB1,PRKCD
NFKB1,LPAR1
NFKB1,PSMD7
NFKB1,MAPK3
NFKB1,SQSTM1
NFKB1,PSMA2
NFKB1,BCL3
NFKB1,TYK2
NFKB1,PRKACB
NFKB1,NFKBIE
NFKB1,TDP2
NFKB1,PSMD11
NFKB1,MAPK8
NFKB1,TRAF6
NFKB1,IL12B
NFKB1,TEK
NFKB1,PIK3R1
NFKB1,SETD6
NFKB1,EP300
NFKB1,PRKCZ
NFKB1,AGER
NFKB1,TRADD
NFKB1,PSMB2
NFKB1,PSMA8
NFKB1,NFKBIZ
NFKB1,HDAC2
NFKB1,IRAK1
NFKB1,PSMD10
NFKB1,JAK2
NFKB1,MAP3K8
NFKB1,DHX9
NFKB1,CREBBP
NFKB1,RELA
NFKB1,STAT4
NFKB1,CXCL8
NFKB1,APP
NFKB1,CTNNB1
NFKB1,PSMC6
NFKB1,PSMB4
NFKB1,MTOR
NFKB1,LPAR3
NFKB1,RIPK1
NFKB1,IL1RAP
NFKB1,S100B
NFKB1,CDC34
NFKB1,ARRB2
NFKB1,REL
NFKB1,NLRP3
NFKB1,PSMB6
NFKB1,PSMD2
NFKB1,IL18R1
NFKB1,ITGB2
NFKB1,TNIP2
NFKB1,TERT
NFKB1,PRKCA
NFKB1,LPAR2
NFKB1,UBE2D2
NFKB1,PSMD12
NFKB1,PSMC3
NFKB1,IL18RAP
NFKB1,PSMB10
NFKB1,NKIRAS1
NFKB1,ERC1
NFKB1,PSMA3
NFKB1,PSMD6
NFKB1,TNF
NFKB1,NFKB2
NFKB1,PPARG
NFKB1,AKT1
NFKB1,IL12RB1
NFKB1,IKBKB
NFKB1,PSMF1
NFKB1,SRC
NFKB1,PSMB5
NFKB1,ANGPT1
NFKB1,CD40
NFKB1,PSMB8
NFKB1,YWHAE
NFKB1,LCK
NFKB1,PSMD1
NFKB1,NR3C1
NFKB1,PSMD4
NFKB1,CASP8
NFKB1,IL1A
NFKB1,PSMA4
NFKB1,MYD88
NFKB1,PRKCI
NFKB1,PRKACG
NFKB1,TRAF1
NFKB1,PSME3
NFKB1,PSMD13
NFKB1,UBE2D1
NFKB1,IL18
NFKB1,IL1R1
NFKB1,PIK3CA
NFKB1,TRAF2
NFKB1,NKIRAS2
NFKB1,HDAC3
NFKB1,PSMA6
NFKB1,PSMB3
NFKB1,PSMB1
NFKB1,PSMA1
NFKB1,PRKACA
NFKB1,EPO
NFKB1,RAN
NFKB1,RPS6KA5
NFKB1,TLR4
NFKB1,IL1B
NFKB1,PSMC2
NFKB1,XPO1
NFKB1,SAA1
NFKB1,CD40LG
NFKB1,TNFRSF1A
NFKB1,IL6
MANBA,MAN2B1
IL2,IL15
WFS1,CISD2
GAR1,PPP6R3
GAR1,TEP1
GAR1,DKC1
GAR1,BRIX1
GAR1,TRUB1
GAR1,NOP58
GAR1,NVL
GAR1,NOP10
GAR1,FBLL1
GAR1,NHP2
GAR1,EBNA1BP2
GAR1,PTGES3
GAR1,NIP7
GAR1,TERT
GAR1,ANKRD28
GAR1,RUVBL2
GAR1,BOP1
GAR1,GNL3L
GAR1,POLR1B
GAR1,CDK2
GAR1,DDX18
GAR1,FBL
GAR1,CCNA2
GAR1,NOP56
GAR1,NAF1
GAR1,NHP2L1
GAR1,SHQ1
GAR1,WRAP53
GAR1,RUVBL1
GAR1,PIF1
SPI1,TET2
CCND1,LEF1
KITLG,GAB1
SART3,LARP7
SART3,LSM6
POLR3B,SDAD1
IL23A,NFKB1
IL23A,FGF2
GLI1,INTU
ITFG2,LAMTOR3
ARPC3,GAB1
FGF6,FGF2
CDKN1B,ANAPC10
CDKN1B,CCNA2
NUP107,HSPA4L
NUP107,NUP54
NUP107,EIF4E
CNOT2,EIF4E
CNOT2,CNOT6L
GAPDH,SNCA
NANOG,FGF2
NANOG,TET2
PRKAB1,LAMTOR3
FBXO5,ANAPC10
FBXO5,CCNA2
MAPK14,CXCL8
MAPK14,NFKB1
MAPK14,EIF4E
RPS12,ABCE1
RPS12,RPL34
GMNN,CCNA2
FIG4,INPP4B
BYSL,SDAD1
SKIV2L2,EXOSC9
HBEGF,BTC
IL12B,CXCL8
IL12B,CXCL2
IL12B,CXCL10
IL12B,CXCL1
IL12B,NFKB1
IL4,CXCL8
SKP1,CCNA2
NUP155,HSPA4L
NUP155,NUP54
NUP155,EIF4E
NR3C1,MAPK10
NR3C1,NFKB1
RARS,AIMP1
CDX1,LEF1
EHHADH,HADH
UBE3A,UBE2D3
HES1,CAMK2D
HES1,MAML3
NPRL2,LAMTOR3
EIF2AK2,HERC5
MSH2,SMARCAD1
NCK2,GAB1
NDUFS7,NDUFC1
IGFBP5,SPP1
PROC,PF4
ID2,PKD2
CEBPZ,SDAD1
ORC2,CCNA2
PPP3R1,PPP3CA
PLEK,ANXA5
SPR,PRKG2
MAD2L2,MAD2L1
ATIC,MTHFD2L
RPN2,OSTC
PKD2,ITPR1
PKD2,EXOC5
PKD2,RYR2
PKD2,TRPC1
PKD2,PKHD1
PKD2,HAX1
PKD2,TRPV4
PKD2,PKD1
PKD2,ID2
PKD2,PACS1
ABCG2,ABCC2
ABCG2,ABCC1
STBD1,PPP1R3C
STBD1,GABARAPL1
STBD1,EPM2A
CCNI,CDK5
ELL2,AFF1
NDUFB3,NDUFC1
CPSF3,NUP54
DDX55,SDAD1
NEK9,NUP54
ACOT2,SCD5
TGFB3,SMAD1
PPP1R3C,STBD1
DUSP1,MAPK10
KLRK1,IL15
TFG,SEC31A
NAA50,NAA15
MAPK8IP1,MAPK10
ACVR2A,SMAD1
BBS9,BBS12
BBS9,BBS7
TWIST1,G3BP2
EGR2,SCD5
TNFAIP6,CXCL8
PLA2G12A,PLA2G3
PLA2G12A,PLA2G2D
PLA2G12A,PLA2G10
ACTR5,COPS4
SYS1,SEC24B
PLCG1,GAB1
PLCG1,COPS4
PTGIS,HPGDS
MCEE,MMAA
HIST1H4F,SMARCA5
HIST1H1A,CXCL11
EREG,AREG
BBS2,BBS7
BBS2,BBS12
BMP4,SMAD1
MRPS7,RPL34
MRPS7,MRPS18C
MRPS7,MRPL1
NUP85,NUP54
NUP85,EIF4E
NUP85,HSPA4L
MBOAT7,CDS1
C3,CFI
VASP,PRKG2
VASP,CXCL8
SYMPK,NUP54
CDC25B,CCNA2
MKKS,BBS12
MKKS,BBS7
SNRPB2,LSM6
RALY,HNRNPD
GLTSCR2,SDAD1
DDX49,SDAD1
DLGAP5,MAML3
DLGAP5,MAD2L1
DLGAP5,CCNA2
SGPP1,SGMS2
CANX,ENPEP
TRAF2,MAPK10
TRAF2,NFKB1
TUBA4A,ANXA5
HSPB1,HNRNPD
PTPN12,PTPN13
LIF,CXCL8
LIF,CXCL10
LIF,FGF2
LIF,CXCL2
LIF,CXCL1
PMPCB,COQ2
LSM8,LSM6
COPB1,USO1
MYOD1,SETD7
EGLN3,UBE2D3
NEDD8,COPS4
NEDD8,UBE2D3
DAD1,OSTC
RAP1B,GAB1
MAPK8IP3,MAPK10
LMAN1,SEC24B
LMAN1,SEC31A
CERS4,SGMS2
RPS16,RPL34
RPS16,ABCE1
NCAPG,CCNA2
NCAPG,MAD2L1
ALOX12,CYP2U1
RAF1,PAPSS1
NDUFA2,NDUFC1
APOE,SNCA
MRPL34,MRPL1
LSM7,LSM6
MLLT1,AFF1
NDUFA10,NDUFC1
EPO,GAB1
EPO,NFKB1
JUND,MAPK10
UBE2M,UBE2D3
TRIM28,SMARCAD1
EIF2S3,ABCE1
EIF2S3,EIF4E
SESN2,LAMTOR3
MRPL4,MRPS18C
MRPL4,MRPL1
EIF3G,ABCE1
GINS2,MAD2L1
MRPS25,MRPS18C
PPP1R1B,PPP3CA
SNRPA1,LSM6
DNAJB1,HSPA4L
NUP210,EIF4E
NUP210,HSPA4L
PTCD3,MRPS18C
COQ3,COQ2
NIP7,GAR1
TERF2,CCNA2
HSPA12B,NUP54
AP3B1,CAMK2D
CCNA1,CCNA2
HSPBP1,HSPA4L
KRAS,BTC
KRAS,FGF2
KRAS,CAMK2D
KRAS,PRKG2
