Chr,Pos
1,17306029
1,40060025
1,45946636
1,60913143
1,111738108
1,218689155
1,219924894
1,239901006
2,9290357
2,15906179
2,42433247
2,157013035
2,218683154
2,229569919
2,239872704
3,11640601
3,25520582
3,29472412
3,55158224
3,57746515
3,123077042
3,127961178
3,141147414
3,168746145
4,75673363
4,89883818
4,106819053
4,145489098
5,52195033
5,72144005
5,95036700
5,132439010
5,147854970
5,150595073
5,156937043
5,170901586
6,7211818
6,19842661
6,22004909
6,30693816
6,32151443
6,109266255
6,117259673
6,140280398
6,142668901
7,2752152
7,20418134
7,99630342
8,8697658
9,4143749
9,23588684
9,85126163
9,101661650
9,119401650
10,12277992
10,78318879
10,81706324
10,105656874
11,13171236
11,86444761
12,28320536
12,96237570
12,115947901
13,44842503
14,93105953
15,49984710
15,71612514
15,78898932
15,84392907
16,10709013
16,58022625
16,75340231
17,28413129
17,36835079
17,38218773
17,43923683
17,69216687
18,8808464
19,46294136
21,35661745
22,18488883
22,33335386
